dataset,seed,K,test_of_val_winner,oracle_test,regret
agaricus_lepiota,0,3,0.9999576750521367,0.9999603588386035,2.6837864667283995e-06
agaricus_lepiota,0,5,0.9999992368683642,0.9999992368683642,0.0
agaricus_lepiota,0,10,1.0,1.0,0.0
agaricus_lepiota,0,15,1.0,1.0,0.0
agaricus_lepiota,0,20,1.0,1.0,0.0
agaricus_lepiota,0,30,1.0,1.0,0.0
agaricus_lepiota,0,40,1.0,1.0,0.0
agaricus_lepiota,0,50,1.0,1.0,0.0
agaricus_lepiota,0,63,1.0,1.0000000000000002,2.220446049250313e-16
agaricus_lepiota,1,3,0.9999018167665222,0.9999185391745491,1.6722408026859092e-05
agaricus_lepiota,1,5,0.9999787699796869,0.9999996729897204,2.0903010033435088e-05
agaricus_lepiota,1,10,0.9999832775919733,1.0,1.672240802674807e-05
agaricus_lepiota,1,15,0.9999749163879599,1.0,2.5083612040122105e-05
agaricus_lepiota,1,20,0.9999874581939798,1.0,1.2541806020172075e-05
agaricus_lepiota,1,30,0.9999749163879599,1.0,2.5083612040122105e-05
agaricus_lepiota,1,40,0.9999707357859532,1.0,2.9264214046809123e-05
agaricus_lepiota,1,50,0.9999853678929764,1.0,1.4632107023571095e-05
agaricus_lepiota,1,63,0.9999665551839465,1.0,3.344481605349614e-05
agaricus_lepiota,2,3,0.9998115994726056,0.9998385271174659,2.6927644860341715e-05
agaricus_lepiota,2,5,0.9999746178570237,0.9999997210401164,2.510318309267845e-05
agaricus_lepiota,2,10,0.9999790619765494,1.0,2.0938023450600696e-05
agaricus_lepiota,2,15,0.999970686767169,1.0,2.9313232830951996e-05
agaricus_lepiota,2,20,0.9999685929648241,1.0,3.1407035175901044e-05
agaricus_lepiota,2,30,0.9999706867671692,1.0,2.9313232830840974e-05
agaricus_lepiota,2,40,0.9999853433835847,1.0,1.4656616415309465e-05
agaricus_lepiota,2,50,0.999966499162479,1.0,3.350083752096111e-05
agaricus_lepiota,2,63,0.9999790619765494,1.0,2.0938023450600696e-05
chess,0,3,0.998051315492109,0.998205299634638,0.0001539841425289845
chess,0,5,0.9987406069908472,0.9989925546473816,0.000251947656534357
chess,0,10,0.998857897974814,0.9992551665473903,0.0003972685725763814
chess,0,15,0.9989231703642324,0.9993597687295189,0.0004365983652865335
chess,0,20,0.9989908675154119,0.9994177432922772,0.00042687577686528755
chess,0,30,0.9990485281931524,0.9994659011011084,0.0004173729079560706
chess,0,40,0.9990962779514609,0.9994894974073096,0.00039321945584869233
chess,0,50,0.9991316214044472,0.9995047129835397,0.00037309157909248825
chess,0,63,0.9991682047032531,0.9995166170728337,0.0003484123695806085
chess,1,3,0.998702160958947,0.9988176967562069,0.00011553579725986918
