model,score_test,score_val,fit_time,dataset,time_limit
LightGBMLarge,0.9899380804953559,0.9498207885304659,0.38633251190185547,ionosphere,300
ExtraTreesEntr,0.9880030959752322,0.967741935483871,0.7708580493927002,ionosphere,300
ExtraTrees_r49,0.9870356037151703,0.9659498207885305,0.4911766052246094,ionosphere,300
ExtraTreesGini,0.9870356037151703,0.9659498207885305,0.7311136722564697,ionosphere,300
ExtraTrees_r42,0.9866486068111455,0.9551971326164875,0.7766890525817871,ionosphere,300
ExtraTrees_r126,0.9864551083591332,0.956989247311828,0.4948279857635498,ionosphere,300
LightGBM_r15,0.9864551083591331,0.9534050179211468,0.2700662612915039,ionosphere,300
LightGBM_r121,0.9856811145510836,0.956989247311828,0.27675604820251465,ionosphere,300
LightGBM_r161,0.9852941176470589,0.960573476702509,0.3228936195373535,ionosphere,300
ExtraTrees_r197,0.9852941176470589,0.9623655913978495,1.0966496467590332,ionosphere,300
LightGBM_r131,0.9849071207430341,0.9659498207885304,0.20065808296203613,ionosphere,300
RandomForest_r166,0.9839396284829721,0.9444444444444444,1.1916944980621338,ionosphere,300
RandomForestGini,0.9839396284829721,0.9444444444444444,0.7606761455535889,ionosphere,300
CatBoost_r69,0.9829721362229102,0.967741935483871,0.6063916683197021,ionosphere,300
ExtraTrees_r172,0.9821981424148606,0.953405017921147,0.693568229675293,ionosphere,300
RandomForestEntr,0.9818111455108359,0.9560931899641577,0.7174830436706543,ionosphere,300
LightGBM_r143,0.9810371517027864,0.9623655913978495,0.2185356616973877,ionosphere,300
LightGBM_r196,0.9806501547987616,0.9659498207885304,0.5085804462432861,ionosphere,300
CatBoost_r60,0.9802631578947368,0.9641577060931898,0.70554518699646,ionosphere,300
ExtraTrees_r178,0.9802631578947368,0.953405017921147,0.5805444717407227,ionosphere,300
CatBoost_r137,0.9783281733746131,0.956989247311828,0.562922477722168,ionosphere,300
CatBoost_r5,0.9783281733746131,0.9605734767025089,0.5199875831604004,ionosphere,300
CatBoost_r6,0.9775541795665635,0.9623655913978495,0.7985475063323975,ionosphere,300
LightGBM_r188,0.9775541795665635,0.9731182795698925,0.2256314754486084,ionosphere,300
CatBoost_r49,0.9771671826625387,0.946236559139785,0.42575645446777344,ionosphere,300
CatBoost_r70,0.9771671826625387,0.960573476702509,2.547362804412842,ionosphere,300
LightGBM_r42,0.9763931888544892,0.96415770609319,0.1359694004058838,ionosphere,300
CatBoost_r50,0.9763931888544891,0.9623655913978495,0.7591276168823242,ionosphere,300
LightGBM,0.9760061919504645,0.9713261648745519,0.1344587802886963,ionosphere,300
CatBoost,0.9752321981424149,0.9426523297491038,0.9339392185211182,ionosphere,300
LightGBMXT,0.9740712074303406,0.9695340501792116,0.20423221588134766,ionosphere,300
XGBoost_r98,0.9740712074303406,0.9659498207885304,1.215684175491333,ionosphere,300
CatBoost_r12,0.9740712074303405,0.9587813620071685,1.509312391281128,ionosphere,300
CatBoost_r86,0.9736842105263158,0.9587813620071685,2.21185564994812,ionosphere,300
