fw,dataset,time_limit,elapsed,overrun,n_models,rho_all,rho_top10,pick_test,oracle_test,regret,ens_test
AutoGluon,ionosphere,300,61.5,0.2,64,0.0024664207902326592,-0.42073952899018185,0.9651702786377708,0.9899380804953559,0.024767801857585092,0.9698142414860681
AutoGluon,ionosphere,900,59.0,0.07,64,0.0024664207902326592,-0.42073952899018185,0.9651702786377708,0.9899380804953559,0.024767801857585092,0.9698142414860681
AutoGluon,sonar,300,148.9,0.5,64,0.43615217119022764,-0.5238227218271836,0.9827586206896551,0.9888438133874239,0.006085192697768749,0.9695740365111561
AutoGluon,sonar,900,151.2,0.17,64,0.43615217119022764,-0.5238227218271836,0.9827586206896551,0.9888438133874239,0.006085192697768749,0.9695740365111561
AutoGluon,churn,300,101.2,0.34,64,0.22194493733925202,-0.18787878787878787,0.9046926910299002,0.9154784976005906,0.010785806570690393,0.9069306016980434
AutoGluon,churn,900,93.9,0.1,64,0.22194493733925202,-0.18787878787878787,0.9046926910299002,0.9154784976005906,0.010785806570690393,0.9069306016980434
AutoGluon,coil2000,300,67.9,0.23,64,0.6832652220647545,0.2606060606060606,0.7630896094013149,0.7932172307538767,0.030127621352561862,0.7675245449668784
AutoGluon,coil2000,900,64.8,0.07,64,0.6832652220647545,0.2606060606060606,0.7630896094013149,0.7932172307538767,0.030127621352561862,0.7675245449668784
AutoGluon,phoneme,300,109.9,0.37,64,0.8829616740693254,-0.28484848484848485,0.9520486723752372,0.9529790563912397,0.000930384016002539,0.953052157992497
AutoGluon,phoneme,900,109.9,0.12,64,0.8829616740693254,-0.28484848484848485,0.9520486723752372,0.9529790563912397,0.000930384016002539,0.953052157992497
AutoGluon,spambase,300,232.7,0.78,64,0.5452630616383958,0.4255338805760452,0.9874487816652175,0.989410273038436,0.001961491373218438,0.9889726089143894
AutoGluon,spambase,900,221.2,0.25,64,0.5452630616383958,0.4255338805760452,0.9874487816652175,0.989410273038436,0.001961491373218438,0.9889726089143894
AutoGluon,magic,300,98.0,0.33,64,0.6685593269283576,-0.5410359338752574,0.9247514992195843,0.9262697347803731,0.0015182355607887832,0.9250162016119463
AutoGluon,magic,900,99.9,0.11,64,0.6685593269283576,-0.5410359338752574,0.9247514992195843,0.9262697347803731,0.0015182355607887832,0.9250162016119463
