dataset,seed,leak,model,val,test,gap,p_single,p_dup,p_cvgap
churn,0,нет,rf,0.9102865448504983,0.9423457749479859,-0.03205923009748757,,,
churn,0,нет,hgb,0.9066445182724252,0.938711052064272,-0.03206653379184676,,,
churn,0,нет,logit,0.8083305647840531,0.8440411433919066,-0.03571057860785354,,,
churn,0,нет,__probes__,,,,0.643640988372093,0.0,-0.0105310982874941
churn,0,признак_из_цели,rf,0.9810714285714287,0.8611953642660783,0.11987606430535036,,,
churn,0,признак_из_цели,hgb,0.9806312292358804,0.8456621462411952,0.13496908299468524,,,
churn,0,признак_из_цели,logit,0.9771594684385381,0.7073839186490529,0.26977554978948515,,,
churn,0,признак_из_цели,__probes__,,,,0.94140780730897,0.0,0.009455702774153418
churn,0,дубликаты,rf,0.9427830046266451,0.9423457749479859,0.00043722967865922335,,,
churn,0,дубликаты,hgb,0.9336357924455941,0.938711052064272,-0.00507525961867783,,,
churn,0,дубликаты,logit,0.8160031333893645,0.8440411433919066,-0.028038010002542135,,,
churn,0,дубликаты,__probes__,,,,0.643640988372093,0.25,0.01662137028542443
churn,0,предобработка_до_сплита,rf,0.8064112083948722,0.9425337778557642,-0.13612256946089196,,,
churn,0,предобработка_до_сплита,hgb,0.7844326035691263,0.938711052064272,-0.15427844849514571,,,
churn,0,предобработка_до_сплита,logit,0.6840743853579325,0.7883588599503671,-0.10428447459243462,,,
churn,0,предобработка_до_сплита,__probes__,,,,0.643640988372093,0.0,-0.13176205764805593
churn,1,нет,rf,0.9259593023255815,0.9275913621262459,-0.0016320598006643872,,,
churn,1,нет,hgb,0.9291196013289036,0.9115614617940199,0.01755813953488372,,,
churn,1,нет,logit,0.8023338870431893,0.8211129568106311,-0.018779069767441814,,,
churn,1,нет,__probes__,,,,0.6439575224040369,0.0,0.016630339854555642
churn,1,признак_из_цели,rf,0.9647799003322259,0.8417981727574751,0.12298172757475079,,,
churn,1,признак_из_цели,hgb,0.9691528239202657,0.823828903654485,0.14532392026578067,,,
