dataset,seed,winner_family,best_test,rf_best,gbdt_best,gap_to_rf,spread,n_fam_top5
agaricus_lepiota,0,rf,1.0000000000000002,1.0000000000000002,1.0,0.0,0.038077062186891775,1
agaricus_lepiota,1,rf,1.0,1.0,1.0,0.0,0.04632773867903239,1
agaricus_lepiota,2,rf,1.0,1.0,1.0,0.0,0.06420566333453881,1
chess,0,et,0.999516617072834,0.999516617072834,0.9993063141110148,0.0,0.11161437342272795,3
chess,1,gbdt,0.9997927890592624,0.9994537166107826,0.9997927890592624,0.00033907244847974916,0.12031734669529959,1
chess,2,rf,0.999626476829008,0.999626476829008,0.9994820897208936,0.0,0.10692807010935745,3
churn,0,et,0.941314330455392,0.941314330455392,0.9362461909598782,0.0,0.29632216014897594,3
churn,1,et,0.9139879212935906,0.9139879212935906,0.9129269538387011,0.0,0.26721373623769895,3
churn,2,gbdt,0.9328656678517014,0.928903208058236,0.9328656678517014,0.003962459793465434,0.3129761300152363,2
clean2,0,linear,1.0,1.0,1.0,0.0,0.10867209465791938,1
clean2,1,linear,1.0,1.0,1.0,0.0,0.1166119820148257,1
clean2,2,linear,1.0,1.0,1.0,0.0,0.10236059044048729,1
coil2000,0,gbdt,0.7537316072439162,0.7491216279947179,0.7537316072439162,0.004609979249198259,0.25170958309752867,3
coil2000,1,gbdt,0.7503287904004841,0.7403545117026105,0.7503287904004841,0.009974278697873595,0.23360994401834234,3
coil2000,2,rf,0.765256555366912,0.765256555366912,0.7436745425391436,0.0,0.26141294095453693,2
hypothyroid,0,et,0.9918571328720206,0.9918571328720206,0.9891661424477528,0.0,0.3182707765429509,2
hypothyroid,1,et,0.9965401551687986,0.9965401551687986,0.9952820297756344,0.0,0.2794960508841827,2
hypothyroid,2,et,0.9905990074788564,0.9905990074788564,0.9865799958062488,0.0,0.2552072412105961,2
ionosphere,0,svm,0.9916294642857144,0.9891183035714286,0.9799107142857144,0.0025111607142858094,0.2751116071428572,2
ionosphere,1,et,0.9753820033955858,0.9753820033955858,0.9700056593095642,0.0,0.22043010752688175,2
ionosphere,2,et,0.984375,0.984375,0.9475446428571428,0.0,0.2865513392857142,2
magic,0,et,0.9163197581632566,0.9163197581632566,0.9116783616348748,0.0,0.17125739907284643,2
magic,1,rf,0.9244354094968172,0.9244354094968172,0.9208954720291516,0.0,0.18248672874912852,1
magic,2,rf,0.933447046140942,0.933447046140942,0.9283468578392876,0.0,0.19850906747053754,2
mushroom,0,rf,1.0,1.0,1.0,0.0,0.0525594208469472,1
mushroom,1,rf,1.0,1.0,1.0,0.0,0.06490478240370623,1
mushroom,2,rf,1.0,1.0,1.0,0.0,0.06191043628675763,1
phoneme,0,et,0.954746174331376,0.954746174331376,0.9453436235770424,0.0,0.17891076062840028,2
phoneme,1,et,0.95487497535246,0.95487497535246,0.9416947032436164,0.0,0.16985390170561,2
phoneme,2,et,0.952135554725808,0.952135554725808,0.9261404488661086,0.0,0.1679344320976608,2
ring,0,svm,0.9976369022169084,0.997442324284606,0.996113561825858,0.00019457793230237552,0.3158153455422452,3
ring,1,nb,0.9975856974978814,0.9958716195284558,0.9924754665389964,0.0017140779694255759,0.3311575594806817,3
ring,2,svm,0.9974679266441197,0.995894661652018,0.9941396199073708,0.0015732649921016417,0.31729260168617146,3
satimage,0,et,0.9880299953683194,0.9880299953683194,0.9873941678371034,0.0,0.09115287176745168,2
satimage,1,et,0.9850746449075096,0.9850746449075096,0.9841022368445204,0.0,0.08861531924068711,3
satimage,2,et,0.9888077635009273,0.9888077635009273,0.985605011928755,0.0,0.11002764300636547,2
sonar,0,svm,0.9538690476190476,0.9330357142857142,0.8794642857142857,0.02083333333333337,0.31770833333333315,3
sonar,1,et,0.9444444444444444,0.9444444444444444,0.8711111111111112,0.0,0.3296296296296295,2
sonar,2,svm,0.8660714285714286,0.8519345238095238,0.8497023809523809,0.014136904761904767,0.32738095238095255,3
spambase,0,rf,0.9865645086873256,0.9865645086873256,0.9865550281571746,0.0,0.10401089628932025,3
spambase,1,gbdt,0.9825542444333488,0.9814608232892384,0.9825542444333488,0.0010934211441103736,0.10394137240154477,1
spambase,2,gbdt,0.9883563288859112,0.9848659137018942,0.9883563288859112,0.0034904151840169373,0.10083175851193593,1
twonorm,0,nb,0.9984486360285084,0.9980044748914556,0.9969331121487672,0.000444161137052812,0.19299633407061545,3
twonorm,1,nb,0.9974425338115462,0.9966156453442084,0.9933106515010716,0.0008268884673378052,0.19196228569380547,2
twonorm,2,nb,0.998443516015401,0.997615353895306,0.9958425493569264,0.0008281621200950662,0.21309750552961426,2
vehicle,0,mlp,0.9530620969582904,0.9216237329133198,0.9144312391519288,0.03143836404497058,0.18192383353333397,3
vehicle,1,mlp,0.9558168797397492,0.926298305271103,0.924163045890218,0.02951857446864614,0.18440359034864995,3
vehicle,2,linear,0.9631839960190826,0.929749495883966,0.9173783814709692,0.03343450013511651,0.18872158006036155,2
