name,family,val,test,fit_s,dataset,seed,n,d,n_classes
logreg_C0.01_std,linear,0.9639596200012309,0.9753104470797069,0.074,agaricus_lepiota,0,5000,22,2
logreg_C0.01_quant,linear,0.9540980158811581,0.9663965565448478,0.228,agaricus_lepiota,0,5000,22,2
logreg_C0.1_std,linear,0.9745701417813981,0.9836728307181646,0.067,agaricus_lepiota,0,5000,22,2
logreg_C0.1_quant,linear,0.9603278823070768,0.9714806805851616,0.284,agaricus_lepiota,0,5000,22,2
logreg_C1_std,linear,0.9836443564437696,0.9917094405154921,0.057,agaricus_lepiota,0,5000,22,2
logreg_C1_quant,linear,0.965578000287256,0.9749025884912055,0.218,agaricus_lepiota,0,5000,22,2
logreg_C10_std,linear,0.9874658883394546,0.9946875777560595,0.049,agaricus_lepiota,0,5000,22,2
logreg_C10_quant,linear,0.9662268912735704,0.9757696086353154,0.167,agaricus_lepiota,0,5000,22,2
logreg_C100_std,linear,0.9878711246075876,0.9949569183333719,0.068,agaricus_lepiota,0,5000,22,2
logreg_C100_quant,linear,0.9661935490489771,0.9761595111853294,0.178,agaricus_lepiota,0,5000,22,2
rf_dNone_fsqrt,rf,1.0,1.0000000000000002,1.216,agaricus_lepiota,0,5000,22,2
rf_dNone_f0.3,rf,1.0,1.0000000000000002,0.95,agaricus_lepiota,0,5000,22,2
rf_dNone_f0.7,rf,1.0,1.0,1.102,agaricus_lepiota,0,5000,22,2
rf_d4_fsqrt,rf,0.9987355602519646,0.9990201133282544,1.005,agaricus_lepiota,0,5000,22,2
rf_d4_f0.3,rf,0.9986098857131133,0.9989893315479901,0.921,agaricus_lepiota,0,5000,22,2
rf_d4_f0.7,rf,0.99883045735273,0.9991817176746417,1.127,agaricus_lepiota,0,5000,22,2
rf_d8_fsqrt,rf,1.0,1.0,0.922,agaricus_lepiota,0,5000,22,2
rf_d8_f0.3,rf,1.0,1.0,0.989,agaricus_lepiota,0,5000,22,2
rf_d8_f0.7,rf,1.0,1.0,1.288,agaricus_lepiota,0,5000,22,2
rf_d16_fsqrt,rf,1.0,1.0,0.955,agaricus_lepiota,0,5000,22,2
rf_d16_f0.3,rf,1.0,1.0000000000000002,0.992,agaricus_lepiota,0,5000,22,2
rf_d16_f0.7,rf,1.0,1.0,1.258,agaricus_lepiota,0,5000,22,2
et_dNone_fsqrt,et,1.0,1.0,0.8,agaricus_lepiota,0,5000,22,2
et_dNone_f0.5,et,1.0,1.0,0.934,agaricus_lepiota,0,5000,22,2
et_d8_fsqrt,et,1.0,0.9999999999999999,0.758,agaricus_lepiota,0,5000,22,2
et_d8_f0.5,et,1.0,1.0,0.918,agaricus_lepiota,0,5000,22,2
hgb_lr0.03_ln15_l20.0,gbdt,0.9999999999999999,1.0,0.796,agaricus_lepiota,0,5000,22,2
hgb_lr0.03_ln15_l21.0,gbdt,1.0,1.0,0.892,agaricus_lepiota,0,5000,22,2
hgb_lr0.03_ln31_l20.0,gbdt,1.0,1.0,0.958,agaricus_lepiota,0,5000,22,2
hgb_lr0.03_ln31_l21.0,gbdt,1.0,1.0,0.724,agaricus_lepiota,0,5000,22,2
hgb_lr0.03_ln63_l20.0,gbdt,1.0,1.0,1.459,agaricus_lepiota,0,5000,22,2
hgb_lr0.03_ln63_l21.0,gbdt,1.0,1.0,0.711,agaricus_lepiota,0,5000,22,2
hgb_lr0.1_ln15_l20.0,gbdt,1.0,1.0,0.632,agaricus_lepiota,0,5000,22,2
hgb_lr0.1_ln15_l21.0,gbdt,1.0,0.9999999999999999,0.847,agaricus_lepiota,0,5000,22,2
hgb_lr0.1_ln31_l20.0,gbdt,1.0,1.0,0.854,agaricus_lepiota,0,5000,22,2
hgb_lr0.1_ln31_l21.0,gbdt,0.9999999999999999,1.0,0.647,agaricus_lepiota,0,5000,22,2
hgb_lr0.1_ln63_l20.0,gbdt,1.0,1.0,1.247,agaricus_lepiota,0,5000,22,2
hgb_lr0.1_ln63_l21.0,gbdt,0.9999999999999999,1.0,0.725,agaricus_lepiota,0,5000,22,2
hgb_lr0.3_ln15_l20.0,gbdt,1.0,1.0,0.383,agaricus_lepiota,0,5000,22,2
hgb_lr0.3_ln15_l21.0,gbdt,1.0,1.0,0.667,agaricus_lepiota,0,5000,22,2
hgb_lr0.3_ln31_l20.0,gbdt,1.0,0.9999999999999999,0.38,agaricus_lepiota,0,5000,22,2
hgb_lr0.3_ln31_l21.0,gbdt,0.9999999999999999,1.0,0.732,agaricus_lepiota,0,5000,22,2
hgb_lr0.3_ln63_l20.0,gbdt,1.0,1.0,0.458,agaricus_lepiota,0,5000,22,2
hgb_lr0.3_ln63_l21.0,gbdt,0.9999999999999999,1.0,0.757,agaricus_lepiota,0,5000,22,2
knn1_std,knn,1.0,1.0,0.101,agaricus_lepiota,0,5000,22,2
knn1_quant,knn,0.9992331288343559,1.0,0.176,agaricus_lepiota,0,5000,22,2
knn5_std,knn,0.9999923056404785,0.9999974348516446,0.084,agaricus_lepiota,0,5000,22,2
knn5_quant,knn,0.9999640929888997,0.9999820439615125,0.193,agaricus_lepiota,0,5000,22,2
knn15_std,knn,0.9998217473377516,0.9998114615958814,0.134,agaricus_lepiota,0,5000,22,2
knn15_quant,knn,0.9999576810226317,0.9999397190136492,0.216,agaricus_lepiota,0,5000,22,2
knn31_std,knn,0.9993754744855038,0.999462601419553,0.15,agaricus_lepiota,0,5000,22,2
knn31_quant,knn,0.9997563452818188,0.9997152685325555,0.25,agaricus_lepiota,0,5000,22,2
svc_C0.1,svm,0.9984380450171328,0.9989713755095025,1.243,agaricus_lepiota,0,5000,22,2
svc_C1,svm,1.0,1.0,0.625,agaricus_lepiota,0,5000,22,2
svc_C10,svm,1.0,1.0,0.644,agaricus_lepiota,0,5000,22,2
"mlp_(64,)_a0.0001",mlp,1.0,1.0,2.019,agaricus_lepiota,0,5000,22,2
"mlp_(64,)_a0.01",mlp,1.0,1.0,1.723,agaricus_lepiota,0,5000,22,2
"mlp_(128, 64)_a0.0001",mlp,1.0,1.0,1.988,agaricus_lepiota,0,5000,22,2
"mlp_(128, 64)_a0.01",mlp,1.0,1.0,1.708,agaricus_lepiota,0,5000,22,2
gaussiannb,nb,0.9519641135071917,0.9619229378131084,0.037,agaricus_lepiota,0,5000,22,2
dt_d3,tree,0.9815848328785111,0.9853748066519428,0.022,agaricus_lepiota,0,5000,22,2
dt_d6,tree,0.9988432812852659,0.9990008747155892,0.015,agaricus_lepiota,0,5000,22,2
dt_dNone,tree,0.9983277591973244,1.0,0.014,agaricus_lepiota,0,5000,22,2
logreg_C0.01_std,linear,0.9692002636972509,0.9728337813160434,0.039,agaricus_lepiota,1,5000,22,2
logreg_C0.01_quant,linear,0.9685923235370317,0.968755770769641,0.133,agaricus_lepiota,1,5000,22,2
logreg_C0.1_std,linear,0.9773805218024785,0.9800254426821512,0.04,agaricus_lepiota,1,5000,22,2
logreg_C0.1_quant,linear,0.9684153283005124,0.9724208506883888,0.125,agaricus_lepiota,1,5000,22,2
logreg_C1_std,linear,0.9868407889370282,0.9884328128526582,0.076,agaricus_lepiota,1,5000,22,2
logreg_C1_quant,linear,0.9726555185319143,0.9761962164269447,0.216,agaricus_lepiota,1,5000,22,2
logreg_C10_std,linear,0.9895931931223242,0.9916387959866221,0.044,agaricus_lepiota,1,5000,22,2
logreg_C10_quant,linear,0.9758439979376206,0.9776658390955537,0.151,agaricus_lepiota,1,5000,22,2
logreg_C100_std,linear,0.9896316703476545,0.9916849621437511,0.027,agaricus_lepiota,1,5000,22,2
logreg_C100_quant,linear,0.9764211563175755,0.9777376531177545,0.157,agaricus_lepiota,1,5000,22,2
rf_dNone_fsqrt,rf,1.0,1.0,0.959,agaricus_lepiota,1,5000,22,2
rf_dNone_f0.3,rf,1.0,1.0,1.005,agaricus_lepiota,1,5000,22,2
rf_dNone_f0.7,rf,1.0,1.0,1.146,agaricus_lepiota,1,5000,22,2
rf_d4_fsqrt,rf,0.9986840788937028,0.9993818864517718,0.867,agaricus_lepiota,1,5000,22,2
rf_d4_f0.3,rf,0.9988969862071972,0.9994229230358865,0.906,agaricus_lepiota,1,5000,22,2
rf_d4_f0.7,rf,0.9988405529433795,0.9992946837105279,1.062,agaricus_lepiota,1,5000,22,2
rf_d8_fsqrt,rf,1.0,1.0,0.925,agaricus_lepiota,1,5000,22,2
rf_d8_f0.3,rf,1.0,1.0,1.015,agaricus_lepiota,1,5000,22,2
rf_d8_f0.7,rf,1.0,1.0,1.305,agaricus_lepiota,1,5000,22,2
rf_d16_fsqrt,rf,1.0,1.0,0.922,agaricus_lepiota,1,5000,22,2
rf_d16_f0.3,rf,1.0,1.0,1.045,agaricus_lepiota,1,5000,22,2
rf_d16_f0.7,rf,1.0,1.0,1.244,agaricus_lepiota,1,5000,22,2
et_dNone_fsqrt,et,1.0,1.0,0.754,agaricus_lepiota,1,5000,22,2
et_dNone_f0.5,et,1.0,1.0,0.925,agaricus_lepiota,1,5000,22,2
et_d8_fsqrt,et,1.0,1.0,0.74,agaricus_lepiota,1,5000,22,2
et_d8_f0.5,et,1.0,1.0,0.921,agaricus_lepiota,1,5000,22,2
hgb_lr0.03_ln15_l20.0,gbdt,1.0,1.0,0.863,agaricus_lepiota,1,5000,22,2
