db,table,n_ts_cols,v0,v1,truth,v0_ok,v1_ok,note
olist,orders,5,order_purchase_timestamp,order_purchase_timestamp,order_purchase_timestamp,True,True,
olist,payments,0,,FK@orders,FK@orders,False,True,наследование через order_id
olist,products,0,,,,True,True,
olist,order_items,1,shipping_limit_date,shipping_limit_date,FK@orders,False,False,
olist,reviews,2,review_creation_date,review_creation_date,review_creation_date,True,True,
olist,sellers,0,,,,True,True,
olist,customers,0,,,,True,True,
f1,constructor_results,1,date,date,date,True,True,
f1,qualifying,1,date,date,date,True,True,
f1,drivers,1,dob,dob,,False,False,
f1,constructors,0,,,,True,True,
f1,constructor_standings,1,date,date,date,True,True,
f1,results,1,date,date,date,True,True,
f1,standings,1,date,date,date,True,True,
f1,circuits,0,,,,True,True,
f1,races,1,date,date,date,True,True,
stack,comments,1,CreationDate,CreationDate,CreationDate,True,True,
stack,postHistory,1,CreationDate,CreationDate,CreationDate,True,True,
stack,users,1,CreationDate,CreationDate,CreationDate,True,True,
stack,badges,1,Date,Date,Date,True,True,
stack,votes,1,CreationDate,CreationDate,CreationDate,True,True,
stack,postLinks,1,CreationDate,CreationDate,CreationDate,True,True,
stack,posts,1,CreationDate,CreationDate,CreationDate,True,True,
hm,article,0,,,,True,True,
hm,customer,0,,,,True,True,
hm,transactions,1,t_dat,t_dat,t_dat,True,True,
event,event_attendees,1,start_time,start_time,start_time,True,True,
event,user_friends,0,,,,True,True,
event,users,1,joinedAt,joinedAt,joinedAt,True,True,
event,events,1,start_time,start_time,start_time,True,True,
event,event_interest,1,timestamp,timestamp,timestamp,True,True,
amazon,product,0,,,,True,True,
amazon,review,1,review_time,review_time,review_time,True,True,
amazon,customer,0,,,,True,True,
