задача,тест,режим,n,доля_1,n_признаков,AUC,проверка,признак,завышение_vs_D3
A,2018-01-01,D1,1479,0.674,21,0.8557,0.879,COUNT(order_items),5.99
A,2018-01-01,D2,1479,0.674,21,0.7958,0.735,COUNT(order_items),0.0
A,2018-01-01,D3,1479,0.674,21,0.7958,0.735,COUNT(order_items),0.0
A,2018-04-01,D1,1685,0.653,21,0.8378,0.842,COUNT(order_items),4.82
A,2018-04-01,D2,1685,0.653,21,0.7896,0.731,SUM(order_items.products.product_photos_qty),0.0
A,2018-04-01,D3,1685,0.653,21,0.7896,0.731,SUM(order_items.products.product_photos_qty),0.0
A,2018-07-01,D1,2012,0.625,21,0.782,0.764,COUNT(order_items),4.24
A,2018-07-01,D2,2012,0.625,21,0.7396,0.684,SUM(order_items.products.product_photos_qty),0.0
A,2018-07-01,D3,2012,0.625,21,0.7396,0.684,SUM(order_items.products.product_photos_qty),0.0
C,2018-01-01,D1,4490,0.442,13,0.805,0.834,COUNT(order_items),14.36
C,2018-01-01,D2,4490,0.442,13,0.6614,0.634,COUNT(order_items),0.0
C,2018-01-01,D3,4490,0.442,13,0.6614,0.634,COUNT(order_items),0.0
C,2018-04-01,D1,5478,0.397,13,0.7962,0.809,COUNT(order_items),12.96
C,2018-04-01,D2,5478,0.397,13,0.6666,0.658,COUNT(order_items),0.0
C,2018-04-01,D3,5478,0.397,13,0.6666,0.658,COUNT(order_items),0.0
C,2018-07-01,D1,5842,0.331,13,0.7553,0.759,COUNT(order_items),12.41
C,2018-07-01,D2,5842,0.331,13,0.6312,0.631,COUNT(order_items),0.0
C,2018-07-01,D3,5842,0.331,13,0.6312,0.631,COUNT(order_items),0.0
