задача,тест,режим,n_test,доля_1,AUC,завышение
A,2018-01-01,δ=0,1479,0.674,0.838796,0.0
A,2018-01-01,δ=5,1479,0.674,0.872299,3.350300000000006
A,2018-01-01,δ=10,1479,0.674,0.896626,5.783000000000005
A,2018-01-01,δ=15,1479,0.674,0.906939,6.8143000000000065
A,2018-01-01,δ=20,1479,0.674,0.926054,8.725800000000007
A,2018-01-01,δ=30,1479,0.674,0.946177,10.738100000000006
A,2018-01-01,δ=45,1479,0.674,0.964441,12.5645
A,2018-01-01,δ=60,1479,0.674,0.975765,13.696900000000001
A,2018-01-01,δ=90,1479,0.674,1.0,16.1204
A,2018-04-01,δ=0,1685,0.653,0.860309,0.0
A,2018-04-01,δ=5,1685,0.653,0.885557,2.524800000000005
A,2018-04-01,δ=10,1685,0.653,0.904845,4.453600000000002
A,2018-04-01,δ=15,1685,0.653,0.916006,5.569699999999999
A,2018-04-01,δ=20,1685,0.653,0.927235,6.692600000000004
A,2018-04-01,δ=30,1685,0.653,0.947359,8.704999999999997
A,2018-04-01,δ=45,1685,0.653,0.968912,10.8603
A,2018-04-01,δ=60,1685,0.653,0.979877,11.956800000000001
A,2018-04-01,δ=90,1685,0.653,1.0,13.969100000000001
A,2018-07-01,δ=0,2012,0.625,0.831072,0.0
A,2018-07-01,δ=5,2012,0.625,0.861701,3.0629000000000017
A,2018-07-01,δ=10,2012,0.625,0.876454,4.538199999999993
A,2018-07-01,δ=15,2012,0.625,0.895902,6.482999999999994
A,2018-07-01,δ=20,2012,0.625,0.917178,8.610600000000002
A,2018-07-01,δ=30,2012,0.625,0.945789,11.471699999999995
A,2018-07-01,δ=45,2012,0.625,0.98357,15.249800000000002
A,2018-07-01,δ=60,2012,0.625,1.0,16.892799999999998
A,2018-07-01,δ=90,2012,0.625,1.0,16.892799999999998
B,2018-01-01,δ=0,763,0.455,0.576182,0.0
B,2018-01-01,δ=5,763,0.455,0.598592,2.241000000000004
B,2018-01-01,δ=10,763,0.455,0.598724,2.254200000000006
B,2018-01-01,δ=15,763,0.455,0.606199,3.001700000000007
B,2018-01-01,δ=20,763,0.455,0.628789,5.260700000000007
B,2018-01-01,δ=30,763,0.455,0.652807,7.662500000000005
B,2018-01-01,δ=45,763,0.455,0.695758,11.957600000000001
B,2018-01-01,δ=60,763,0.455,0.710728,13.454600000000006
B,2018-01-01,δ=90,763,0.455,0.827082,25.09
B,2018-04-01,δ=0,852,0.332,0.592497,0.0
B,2018-04-01,δ=5,852,0.332,0.589249,-0.32480000000000286
B,2018-04-01,δ=10,852,0.332,0.626721,3.422399999999992
B,2018-04-01,δ=15,852,0.332,0.628758,3.6260999999999988
B,2018-04-01,δ=20,852,0.332,0.647326,5.48289999999999
B,2018-04-01,δ=30,852,0.332,0.679221,8.67239999999999
B,2018-04-01,δ=45,852,0.332,0.724183,13.168599999999998
B,2018-04-01,δ=60,852,0.332,0.763394,17.089699999999997
B,2018-04-01,δ=90,852,0.332,0.809827,21.73299999999999
B,2018-07-01,δ=0,867,0.195,0.588757,0.0
B,2018-07-01,δ=5,867,0.195,0.594276,0.5519000000000052
B,2018-07-01,δ=10,867,0.195,0.639977,5.122000000000004
B,2018-07-01,δ=15,867,0.195,0.637053,4.829600000000001
B,2018-07-01,δ=20,867,0.195,0.630101,4.134400000000005
B,2018-07-01,δ=30,867,0.195,0.647013,5.825599999999998
B,2018-07-01,δ=45,867,0.195,0.721173,13.241599999999998
B,2018-07-01,δ=60,867,0.195,0.758787,17.003
B,2018-07-01,δ=90,867,0.195,0.787313,19.855600000000006
