задача,тест,режим,макс_AUC_признака,признак
A,2018-01-01,δ=0,0.837,days_since_last
A,2018-01-01,δ=5,0.874,days_since_last
A,2018-01-01,δ=10,0.898,days_since_last
A,2018-01-01,δ=15,0.915,days_since_last
A,2018-01-01,δ=20,0.93,days_since_last
A,2018-01-01,δ=30,0.95,days_since_last
A,2018-01-01,δ=45,0.969,days_since_last
A,2018-01-01,δ=60,0.983,days_since_last
A,2018-01-01,δ=90,1.0,days_since_last
A,2018-04-01,δ=0,0.861,days_since_last
A,2018-04-01,δ=5,0.89,days_since_last
A,2018-04-01,δ=10,0.912,days_since_last
A,2018-04-01,δ=15,0.924,days_since_last
A,2018-04-01,δ=20,0.939,days_since_last
A,2018-04-01,δ=30,0.957,days_since_last
A,2018-04-01,δ=45,0.975,days_since_last
A,2018-04-01,δ=60,0.985,days_since_last
A,2018-04-01,δ=90,1.0,days_since_last
A,2018-07-01,δ=0,0.833,days_since_last
A,2018-07-01,δ=5,0.865,days_since_last
A,2018-07-01,δ=10,0.883,days_since_last
A,2018-07-01,δ=15,0.901,days_since_last
A,2018-07-01,δ=20,0.922,days_since_last
A,2018-07-01,δ=30,0.952,days_since_last
A,2018-07-01,δ=45,0.986,days_since_last
A,2018-07-01,δ=60,1.0,days_since_last
A,2018-07-01,δ=90,1.0,days_since_last
B,2018-01-01,δ=0,0.572,pay_value_sum
B,2018-01-01,δ=5,0.582,review_score_mean
B,2018-01-01,δ=10,0.606,review_score_mean
B,2018-01-01,δ=15,0.622,review_score_mean
B,2018-01-01,δ=20,0.646,review_score_mean
B,2018-01-01,δ=30,0.673,review_score_mean
B,2018-01-01,δ=45,0.706,review_score_mean
B,2018-01-01,δ=60,0.744,review_score_mean
B,2018-01-01,δ=90,0.839,review_score_mean
B,2018-04-01,δ=0,0.61,review_score_mean
B,2018-04-01,δ=5,0.643,review_score_mean
B,2018-04-01,δ=10,0.669,review_score_mean
B,2018-04-01,δ=15,0.686,review_score_mean
B,2018-04-01,δ=20,0.699,review_score_mean
B,2018-04-01,δ=30,0.723,review_score_mean
B,2018-04-01,δ=45,0.769,review_score_mean
B,2018-04-01,δ=60,0.789,review_score_mean
B,2018-04-01,δ=90,0.819,review_score_mean
B,2018-07-01,δ=0,0.602,review_score_mean
B,2018-07-01,δ=5,0.641,review_score_mean
B,2018-07-01,δ=10,0.652,review_score_mean
B,2018-07-01,δ=15,0.67,review_score_mean
B,2018-07-01,δ=20,0.676,review_score_mean
B,2018-07-01,δ=30,0.709,review_score_mean
B,2018-07-01,δ=45,0.778,review_score_mean
B,2018-07-01,δ=60,0.819,review_score_mean
B,2018-07-01,δ=90,0.834,review_score_mean
