задача,тест,режим,n_test,доля_1,AUC,завышение
A,2018-01-01,корректно (PIT),1479,0.674,0.838796,0.0
A,2018-01-01,прежний эталон (отзыв+доставка),1479,0.674,0.840411,0.1615000000000033
A,2018-01-01,окно шире на 30 дней,1479,0.674,0.946177,10.738100000000006
A,2018-01-01,окно шире на 60 дней,1479,0.674,0.975765,13.696900000000001
A,2018-01-01,отсечки нет,1479,0.674,0.978273,13.947699999999996
A,2018-04-01,корректно (PIT),1685,0.653,0.860309,0.0
A,2018-04-01,прежний эталон (отзыв+доставка),1685,0.653,0.862388,0.2079000000000053
A,2018-04-01,окно шире на 30 дней,1685,0.653,0.947359,8.704999999999997
A,2018-04-01,окно шире на 60 дней,1685,0.653,0.979877,11.956800000000001
A,2018-04-01,отсечки нет,1685,0.653,0.983479,12.317
A,2018-07-01,корректно (PIT),2012,0.625,0.831072,0.0
A,2018-07-01,прежний эталон (отзыв+доставка),2012,0.625,0.834236,0.31639999999999446
A,2018-07-01,окно шире на 30 дней,2012,0.625,0.945789,11.471699999999995
A,2018-07-01,окно шире на 60 дней,2012,0.625,1.0,16.892799999999998
A,2018-07-01,отсечки нет,2012,0.625,1.0,16.892799999999998
B,2018-01-01,корректно (PIT),763,0.455,0.576182,0.0
B,2018-01-01,прежний эталон (отзыв+доставка),763,0.455,0.607072,3.0889999999999973
B,2018-01-01,окно шире на 30 дней,763,0.455,0.652807,7.662500000000005
B,2018-01-01,окно шире на 60 дней,763,0.455,0.710728,13.454600000000006
B,2018-01-01,отсечки нет,763,0.455,0.742324,16.6142
B,2018-04-01,корректно (PIT),852,0.332,0.592497,0.0
B,2018-04-01,прежний эталон (отзыв+доставка),852,0.332,0.64514,5.2642999999999995
B,2018-04-01,окно шире на 30 дней,852,0.332,0.679221,8.67239999999999
B,2018-04-01,окно шире на 60 дней,852,0.332,0.763394,17.089699999999997
B,2018-04-01,отсечки нет,852,0.332,0.726642,13.414499999999997
B,2018-07-01,корректно (PIT),867,0.195,0.588757,0.0
B,2018-07-01,прежний эталон (отзыв+доставка),867,0.195,0.626532,3.7775000000000003
B,2018-07-01,окно шире на 30 дней,867,0.195,0.647013,5.825599999999998
B,2018-07-01,окно шире на 60 дней,867,0.195,0.758787,17.003
B,2018-07-01,отсечки нет,867,0.195,0.769019,18.026200000000003
