тест,режим,n,доля_1,AUC,макс_AUC_признака,признак,завышение
2018-01-01,"корректно (PIT, обе группы)",4490,0.442,0.71378,0.714,own_days_since_last,0.0
2018-01-01,прежний эталон (отзыв+доставка),4490,0.442,0.72364,0.714,own_days_since_last,0.985999999999998
2018-01-01,утечка только в своей истории,4490,0.442,0.942075,0.95,own_days_since_last,22.829500000000003
2018-01-01,утечка только через соединение,4490,0.442,0.764356,0.714,own_days_since_last,5.057600000000006
2018-01-01,"утечка по доступности, только nbr",4490,0.442,0.721661,0.714,own_days_since_last,0.7881000000000027
2018-01-01,утечка в обеих группах,4490,0.442,0.946207,0.95,own_days_since_last,23.242700000000006
2018-01-01,отсечки нет нигде,4490,0.442,0.98372,0.871,own_days_since_last,26.994000000000007
2018-04-01,"корректно (PIT, обе группы)",5478,0.397,0.745292,0.722,own_days_since_last,0.0
2018-04-01,прежний эталон (отзыв+доставка),5478,0.397,0.748011,0.722,own_days_since_last,0.2719000000000027
2018-04-01,утечка только в своей истории,5478,0.397,0.948438,0.952,own_days_since_last,20.314600000000006
2018-04-01,утечка только через соединение,5478,0.397,0.777301,0.722,own_days_since_last,3.2009000000000065
2018-04-01,"утечка по доступности, только nbr",5478,0.397,0.745354,0.722,own_days_since_last,0.0062000000000006494
2018-04-01,утечка в обеих группах,5478,0.397,0.948013,0.952,own_days_since_last,20.272100000000005
2018-04-01,отсечки нет нигде,5478,0.397,0.991941,0.917,own_days_since_last,24.6649
2018-07-01,"корректно (PIT, обе группы)",5842,0.331,0.741691,0.717,own_days_since_last,0.0
2018-07-01,прежний эталон (отзыв+доставка),5842,0.331,0.740733,0.717,own_days_since_last,-0.09580000000000144
2018-07-01,утечка только в своей истории,5842,0.331,1.0,1.0,own_days_since_last,25.8309
2018-07-01,утечка только через соединение,5842,0.331,0.772038,0.717,own_days_since_last,3.0347000000000013
2018-07-01,"утечка по доступности, только nbr",5842,0.331,0.74316,0.717,own_days_since_last,0.14690000000000536
2018-07-01,утечка в обеих группах,5842,0.331,1.0,1.0,own_days_since_last,25.8309
2018-07-01,отсечки нет нигде,5842,0.331,1.0,1.0,own_days_since_last,25.8309
