задача,тест,режим,n_test,доля_1,AUC
A,2018-01-01,корректно,1479,0.674,0.8426
A,2018-01-01,окно шире на 30 дней,1479,0.674,0.9474
A,2018-01-01,окно шире на 60 дней,1479,0.674,0.9762
A,2018-01-01,отсечки нет,1479,0.674,0.9776
A,2018-04-01,корректно,1685,0.653,0.8599
A,2018-04-01,окно шире на 30 дней,1685,0.653,0.9472
A,2018-04-01,окно шире на 60 дней,1685,0.653,0.9801
A,2018-04-01,отсечки нет,1685,0.653,0.9845
A,2018-07-01,корректно,2012,0.625,0.8324
A,2018-07-01,окно шире на 30 дней,2012,0.625,0.9453
A,2018-07-01,окно шире на 60 дней,2012,0.625,1.0
A,2018-07-01,отсечки нет,2012,0.625,1.0
B,2018-01-01,корректно,794,0.514,0.5886
B,2018-01-01,окно шире на 30 дней,794,0.514,0.6706
B,2018-01-01,окно шире на 60 дней,794,0.514,0.761
B,2018-01-01,отсечки нет,794,0.514,0.7502
B,2018-04-01,корректно,839,0.287,0.5974
B,2018-04-01,окно шире на 30 дней,839,0.287,0.6692
B,2018-04-01,окно шире на 60 дней,839,0.287,0.7234
B,2018-04-01,отсечки нет,839,0.287,0.7559
B,2018-07-01,корректно,837,0.237,0.5653
B,2018-07-01,окно шире на 30 дней,837,0.237,0.6748
B,2018-07-01,окно шире на 60 дней,837,0.237,0.7595
B,2018-07-01,отсечки нет,837,0.237,0.7835
