тест,режим,n,доля_1,AUC,макс_AUC_признака,признак,завышение
2018-01-01,корректно (обе отсечки верны),4490,0.442,0.7249,0.714,own_days_since_last,0.0
2018-01-01,утечка только в своей истории,4490,0.442,0.9434,0.95,own_days_since_last,21.85
2018-01-01,утечка только через соединение,4490,0.442,0.7655,0.714,own_days_since_last,4.059999999999997
2018-01-01,утечка в обеих группах,4490,0.442,0.9449,0.95,own_days_since_last,21.999999999999996
2018-01-01,отсечки нет нигде,4490,0.442,0.984,0.871,own_days_since_last,25.91
2018-04-01,корректно (обе отсечки верны),5478,0.397,0.7511,0.722,own_days_since_last,0.0
2018-04-01,утечка только в своей истории,5478,0.397,0.9486,0.952,own_days_since_last,19.75
2018-04-01,утечка только через соединение,5478,0.397,0.7792,0.722,own_days_since_last,2.8100000000000014
2018-04-01,утечка в обеих группах,5478,0.397,0.95,0.952,own_days_since_last,19.889999999999997
2018-04-01,отсечки нет нигде,5478,0.397,0.9921,0.917,own_days_since_last,24.099999999999998
2018-07-01,корректно (обе отсечки верны),5842,0.331,0.74,0.717,own_days_since_last,0.0
2018-07-01,утечка только в своей истории,5842,0.331,1.0,1.0,own_days_since_last,26.0
2018-07-01,утечка только через соединение,5842,0.331,0.7724,0.717,own_days_since_last,3.2399999999999984
2018-07-01,утечка в обеих группах,5842,0.331,1.0,1.0,own_days_since_last,26.0
2018-07-01,отсечки нет нигде,5842,0.331,1.0,1.0,own_days_since_last,26.0
