задача,тест,режим,макс_AUC_признака,признак
A,2018-01-01,корректно,0.837,days_since_last
A,2018-01-01,окно шире на 30 дней,0.95,days_since_last
A,2018-01-01,окно шире на 60 дней,0.983,days_since_last
A,2018-01-01,отсечки нет,0.933,days_since_last
A,2018-04-01,корректно,0.861,days_since_last
A,2018-04-01,окно шире на 30 дней,0.957,days_since_last
A,2018-04-01,окно шире на 60 дней,0.985,days_since_last
A,2018-04-01,отсечки нет,0.928,days_since_last
A,2018-07-01,корректно,0.833,days_since_last
A,2018-07-01,окно шире на 30 дней,0.952,days_since_last
A,2018-07-01,окно шире на 60 дней,1.0,days_since_last
A,2018-07-01,отсечки нет,1.0,days_since_last
B,2018-01-01,корректно,0.607,delay_days_mean
B,2018-01-01,окно шире на 30 дней,0.701,review_score_mean
B,2018-01-01,окно шире на 60 дней,0.778,review_score_mean
B,2018-01-01,отсечки нет,0.81,review_score_mean
B,2018-04-01,корректно,0.617,review_score_mean
B,2018-04-01,окно шире на 30 дней,0.71,review_score_mean
B,2018-04-01,окно шире на 60 дней,0.775,review_score_mean
B,2018-04-01,отсечки нет,0.828,review_score_mean
B,2018-07-01,корректно,0.602,review_score_mean
B,2018-07-01,окно шире на 30 дней,0.719,review_score_mean
B,2018-07-01,окно шире на 60 дней,0.832,review_score_mean
B,2018-07-01,отсечки нет,0.832,review_score_mean
