dataset,task,test_seed,mode,n_test,pos_rate,auc,auc_lo,auc_hi,probe,probe_feature,probe_datarobot,probe_h2o,seconds,inflation_pp,probe_delta
f1,driver_dnf_day_granularity,1996-1998,pit,1065,0.714,0.839331,0.8111,0.8635,0.805464,nbr_grid_mean,silent,warning,8.7,0.0,0.0
f1,driver_dnf_day_granularity,1996-1998,naive,1065,0.714,0.834802,0.8145,0.8568,0.807349,own_points_mean,silent,warning,8.6,-0.4529,0.0019
f1,driver_dnf_day_granularity,1996-1998,own_only,1065,0.714,0.850179,0.8266,0.8706,0.808799,own_points_mean,silent,warning,9.0,1.0848,0.0033
f1,driver_dnf_day_granularity,1996-1998,join_only,1065,0.714,0.854249,0.8296,0.8773,0.805487,nbr_grid_mean,silent,warning,9.8,1.4918,0.0
f1,driver_dnf_day_granularity,1996-1998,naive_nbr,1065,0.714,0.854912,0.8292,0.8768,0.805464,nbr_grid_mean,silent,warning,8.0,1.5581,0.0
f1,driver_dnf_day_granularity,1996-1998,both60,1065,0.714,0.862384,0.8396,0.8835,0.808799,own_points_mean,silent,warning,7.6,2.3053,0.0033
f1,driver_dnf_day_granularity,1996-1998,delta5,1065,0.714,0.834802,0.8145,0.8568,0.807349,own_points_mean,silent,warning,7.8,-0.4529,0.0019
f1,driver_dnf_day_granularity,1996-1998,delta10,1065,0.714,0.834053,0.8117,0.8557,0.807474,own_points_mean,silent,warning,8.5,-0.5278,0.002
f1,driver_dnf_day_granularity,1996-1998,delta15,1065,0.714,0.837647,0.8151,0.8621,0.807483,own_points_mean,silent,warning,7.7,-0.1684,0.002
f1,driver_dnf_day_granularity,1996-1998,delta20,1065,0.714,0.837647,0.8151,0.8621,0.807483,own_points_mean,silent,warning,7.1,-0.1684,0.002
f1,driver_dnf_day_granularity,1996-1998,delta30,1065,0.714,0.880541,0.8592,0.8984,0.807955,own_points_mean,silent,warning,7.8,4.121,0.0025
f1,driver_dnf_day_granularity,1996-1998,delta45,1065,0.714,0.867601,0.8434,0.8905,0.808218,own_points_mean,silent,warning,7.2,2.827,0.0028
f1,driver_dnf_day_granularity,1996-1998,delta60,1065,0.714,0.862384,0.8396,0.8835,0.808799,own_points_mean,silent,warning,5.9,2.3053,0.0033
f1,driver_dnf_day_granularity,1996-1998,delta90,1065,0.714,0.859219,0.8357,0.8829,0.808462,own_points_mean,silent,warning,5.8,1.9888,0.003
f1,driver_dnf_day_granularity,1996-1998,nocut,1065,0.714,0.80549,0.7753,0.8306,0.780475,own_position_mean,silent,silent,7.0,-3.3841,-0.025
f1,driver_dnf_day_granularity,1999-2001,pit,1099,0.709,0.859309,0.8346,0.8814,0.764297,nbr_grid_mean,silent,silent,6.5,0.0,0.0
f1,driver_dnf_day_granularity,1999-2001,naive,1099,0.709,0.883829,0.8597,0.9056,0.769193,own_dnf_mean,silent,silent,5.7,2.452,0.0049
f1,driver_dnf_day_granularity,1999-2001,own_only,1099,0.709,0.874483,0.8518,0.8949,0.770078,own_dnf_mean,silent,silent,6.5,1.5174,0.0058
f1,driver_dnf_day_granularity,1999-2001,join_only,1099,0.709,0.870633,0.8465,0.8914,0.766269,nbr_grid_mean,silent,silent,5.4,1.1324,0.002
f1,driver_dnf_day_granularity,1999-2001,naive_nbr,1099,0.709,0.865268,0.8403,0.889,0.764297,nbr_grid_mean,silent,silent,5.9,0.5959,0.0
f1,driver_dnf_day_granularity,1999-2001,both60,1099,0.709,0.868738,0.8464,0.8901,0.770078,own_dnf_mean,silent,silent,4.7,0.9429,0.0058
f1,driver_dnf_day_granularity,1999-2001,delta5,1099,0.709,0.883829,0.8597,0.9056,0.769193,own_dnf_mean,silent,silent,4.7,2.452,0.0049
f1,driver_dnf_day_granularity,1999-2001,delta10,1099,0.709,0.880733,0.8558,0.9025,0.769536,own_dnf_mean,silent,silent,4.9,2.1424,0.0052
f1,driver_dnf_day_granularity,1999-2001,delta15,1099,0.709,0.881699,0.8614,0.9034,0.76892,own_dnf_mean,silent,silent,4.7,2.239,0.0046
f1,driver_dnf_day_granularity,1999-2001,delta20,1099,0.709,0.881699,0.8614,0.9034,0.76892,own_dnf_mean,silent,silent,5.3,2.239,0.0046
