dataset,seed,program,verdict,columns,cells,note,seconds
f1,negative_control,naive,CLEAN,,0,,0.02
f1,negative_control,pit,CLEAN,,0,,0.04
f1,1996-03-10,naive,LEAK,position_mean;points_mean;dnf_mean;dnf_sum,65,,0.02
f1,1996-03-10,pit,CLEAN,,0,,0.03
f1,2000-03-12,naive,LEAK,position_mean;points_mean;dnf_mean;dnf_sum,68,,0.02
f1,2000-03-12,pit,CLEAN,,0,,0.03
f1,2004-03-07,naive,LEAK,position_mean;points_mean;dnf_mean;dnf_sum,66,,0.02
f1,2004-03-07,pit,CLEAN,,0,,0.03
f1,2010-03-14,naive,CLEAN,,0,,0.02
f1,2010-03-14,pit,CLEAN,,0,,0.03
f1,2015-03-15,naive,CLEAN,,0,,0.03
f1,2015-03-15,pit,CLEAN,,0,,0.05
