dataset,task,test_seed,contrast,n_test,delta_pp,lo_pp,hi_pp,p_gt0,B,seconds
f1,driver_dnf_day_granularity,1996-1998,naive - pit,1065,-0.453,-3.504,2.696,0.3975,2000,25.0
f1,driver_dnf_day_granularity,1999-2001,naive - pit,1099,2.452,1.043,3.985,1.0,2000,25.4
f1,driver_dnf_day_granularity,2002-2004,naive - pit,1042,3.273,1.198,5.497,0.9995,2000,22.9
f1,driver_dnf_day_granularity,1996-1998,nocut - pit,1065,-3.384,-6.04,-0.686,0.008,2000,21.8
f1,driver_dnf_day_granularity,1999-2001,nocut - pit,1099,-6.49,-8.644,-4.457,0.0,2000,21.7
f1,driver_dnf_day_granularity,2002-2004,nocut - pit,1042,-2.738,-4.943,-0.57,0.0085,2000,17.7
f1,driver_dnf_day_granularity,1996-1998,join_only - pit,1065,1.492,0.242,2.74,0.9915,2000,20.9
f1,driver_dnf_day_granularity,1999-2001,join_only - pit,1099,1.132,-0.001,2.251,0.9745,2000,14.8
f1,driver_dnf_day_granularity,2002-2004,join_only - pit,1042,0.722,-1.1,2.482,0.7885,2000,13.7
f1,driver_dnf_day_granularity,1996-1998,own_only - pit,1065,1.085,-0.93,3.087,0.8545,2000,16.2
f1,driver_dnf_day_granularity,1999-2001,own_only - pit,1099,1.517,0.28,2.831,0.9935,2000,33.6
f1,driver_dnf_day_granularity,2002-2004,own_only - pit,1042,1.84,0.14,3.719,0.982,2000,25.6
f1,driver_dnf_second_granularity,2008-2010,naive - pit,1164,0.0,0.0,0.0,0.0,2000,22.2
f1,driver_dnf_second_granularity,2013-2015,naive - pit,1203,0.0,0.0,0.0,0.0,2000,25.9
f1,driver_dnf_second_granularity,2018-2020,naive - pit,1180,0.0,0.0,0.0,0.0,2000,25.0
f1,driver_dnf_second_granularity,2008-2010,nocut - pit,1164,-6.979,-9.315,-4.74,0.0,2000,18.3
f1,driver_dnf_second_granularity,2013-2015,nocut - pit,1203,1.586,-0.358,3.48,0.9455,2000,21.3
f1,driver_dnf_second_granularity,2018-2020,nocut - pit,1180,-1.882,-3.795,0.071,0.028,2000,20.4
f1,driver_dnf_second_granularity,2008-2010,join_only - pit,1164,3.85,2.151,5.518,1.0,2000,13.2
f1,driver_dnf_second_granularity,2013-2015,join_only - pit,1203,0.226,-1.269,1.666,0.6055,2000,17.4
f1,driver_dnf_second_granularity,2018-2020,join_only - pit,1180,1.386,-0.433,3.233,0.9225,2000,16.6
f1,driver_dnf_second_granularity,2008-2010,own_only - pit,1164,0.259,-1.256,1.85,0.629,2000,11.4
f1,driver_dnf_second_granularity,2013-2015,own_only - pit,1203,6.891,5.132,8.768,1.0,2000,13.5
f1,driver_dnf_second_granularity,2018-2020,own_only - pit,1180,1.169,-0.42,2.742,0.92,2000,28.0
