dataset,task,test_seed,mode,n_test,pos_rate,auc,auc_lo,auc_hi,probe,probe_feature,probe_datarobot,probe_h2o,seconds,inflation_pp,probe_delta
olist,A_seller_activity,2018-01-01,pit,1479,0.674,0.838796,0.8171,0.8599,0.837024,days_since_last,silent,warning,2.4,0.0,0.0
olist,A_seller_activity,2018-01-01,naive,1479,0.674,0.840411,0.8194,0.8619,0.837024,days_since_last,silent,warning,2.1,0.1615,0.0
olist,A_seller_activity,2018-01-01,delta5,1479,0.674,0.872299,0.8547,0.8891,0.873898,days_since_last,silent,warning,2.4,3.3503,0.0369
olist,A_seller_activity,2018-01-01,delta10,1479,0.674,0.896626,0.8818,0.9119,0.898448,days_since_last,silent,warning,1.8,5.783,0.0614
olist,A_seller_activity,2018-01-01,delta15,1479,0.674,0.906939,0.8915,0.9199,0.915287,days_since_last,silent,warning,1.8,6.8143,0.0783
olist,A_seller_activity,2018-01-01,delta20,1479,0.674,0.926054,0.914,0.9367,0.929511,days_since_last,warning,warning,2.0,8.7258,0.0925
olist,A_seller_activity,2018-01-01,delta30,1479,0.674,0.946177,0.9365,0.9572,0.950472,days_since_last,warning,warning,2.1,10.7381,0.1134
olist,A_seller_activity,2018-01-01,delta45,1479,0.674,0.964441,0.954,0.9724,0.968524,days_since_last,warning,warning,2.0,12.5645,0.1315
olist,A_seller_activity,2018-01-01,delta60,1479,0.674,0.975765,0.9679,0.9835,0.982718,days_since_last,warning,warning,2.6,13.6969,0.1457
olist,A_seller_activity,2018-01-01,delta90,1479,0.674,1.0,1.0,1.0,1.0,days_since_last,auto-drop,auto-drop,1.4,16.1204,0.163
olist,A_seller_activity,2018-01-01,nocut,1479,0.674,0.978273,0.9695,0.9861,0.932756,days_since_last,warning,warning,2.8,13.9477,0.0957
olist,A_seller_activity,2018-04-01,pit,1685,0.653,0.860309,0.8418,0.8792,0.860689,days_since_last,silent,warning,2.3,0.0,0.0
olist,A_seller_activity,2018-04-01,naive,1685,0.653,0.862388,0.8421,0.8795,0.860689,days_since_last,silent,warning,1.9,0.2079,0.0
olist,A_seller_activity,2018-04-01,delta5,1685,0.653,0.885557,0.8709,0.9004,0.890108,days_since_last,silent,warning,2.4,2.5248,0.0294
olist,A_seller_activity,2018-04-01,delta10,1685,0.653,0.904845,0.8904,0.9167,0.912198,days_since_last,silent,warning,2.7,4.4536,0.0515
olist,A_seller_activity,2018-04-01,delta15,1685,0.653,0.916006,0.9036,0.926,0.923623,days_since_last,silent,warning,2.0,5.5697,0.0629
olist,A_seller_activity,2018-04-01,delta20,1685,0.653,0.927235,0.9149,0.9372,0.938585,days_since_last,warning,warning,2.2,6.6926,0.0779
olist,A_seller_activity,2018-04-01,delta30,1685,0.653,0.947359,0.9374,0.9552,0.956764,days_since_last,warning,warning,2.0,8.705,0.0961
olist,A_seller_activity,2018-04-01,delta45,1685,0.653,0.968912,0.9612,0.9749,0.974674,days_since_last,warning,warning,2.1,10.8603,0.114
olist,A_seller_activity,2018-04-01,delta60,1685,0.653,0.979877,0.9736,0.9847,0.985401,days_since_last,warning,warning,2.2,11.9568,0.1247
olist,A_seller_activity,2018-04-01,delta90,1685,0.653,1.0,1.0,1.0,1.0,days_since_last,auto-drop,auto-drop,1.4,13.9691,0.1393
olist,A_seller_activity,2018-04-01,nocut,1685,0.653,0.983479,0.9765,0.989,0.92822,days_since_last,warning,warning,2.6,12.317,0.0675
olist,A_seller_activity,2018-07-01,pit,2012,0.625,0.831072,0.8152,0.8469,0.833137,days_since_last,silent,warning,2.3,0.0,0.0
olist,A_seller_activity,2018-07-01,naive,2012,0.625,0.834236,0.8204,0.8522,0.833137,days_since_last,silent,warning,2.3,0.3164,0.0
olist,A_seller_activity,2018-07-01,delta5,2012,0.625,0.861701,0.8475,0.8759,0.864827,days_since_last,silent,warning,2.0,3.0629,0.0317
olist,A_seller_activity,2018-07-01,delta10,2012,0.625,0.876454,0.8638,0.8882,0.882894,days_since_last,silent,warning,2.1,4.5382,0.0498
olist,A_seller_activity,2018-07-01,delta15,2012,0.625,0.895902,0.8846,0.9069,0.901353,days_since_last,silent,warning,1.9,6.483,0.0682
olist,A_seller_activity,2018-07-01,delta20,2012,0.625,0.917178,0.907,0.9265,0.921698,days_since_last,silent,warning,1.7,8.6106,0.0886
olist,A_seller_activity,2018-07-01,delta30,2012,0.625,0.945789,0.9387,0.955,0.951879,days_since_last,warning,warning,1.9,11.4717,0.1187
olist,A_seller_activity,2018-07-01,delta45,2012,0.625,0.98357,0.9778,0.9883,0.986037,days_since_last,warning,warning,2.0,15.2498,0.1529
olist,A_seller_activity,2018-07-01,delta60,2012,0.625,1.0,1.0,1.0,1.0,days_since_last,auto-drop,auto-drop,2.0,16.8928,0.1669
olist,A_seller_activity,2018-07-01,delta90,2012,0.625,1.0,1.0,1.0,1.0,days_since_last,auto-drop,auto-drop,1.4,16.8928,0.1669
olist,A_seller_activity,2018-07-01,nocut,2012,0.625,1.0,1.0,1.0,1.0,days_since_last,auto-drop,auto-drop,2.4,16.8928,0.1669
olist,B_seller_quality,2018-01-01,pit,763,0.455,0.576182,0.5309,0.6144,0.571828,pay_value_sum,silent,silent,1.4,0.0,0.0
olist,B_seller_quality,2018-01-01,naive,763,0.455,0.607072,0.5624,0.6441,0.622762,review_score_mean,silent,silent,1.4,3.089,0.0509
