dataset,task,test_seed,contrast,n_test,delta_pp,lo_pp,hi_pp,p_gt0,B,seconds
olist,A_seller_activity,2018-01-01,naive - pit,1479,0.161,-0.549,0.92,0.674,2000,14.7
olist,A_seller_activity,2018-04-01,naive - pit,1685,0.208,-0.341,0.771,0.784,2000,15.2
olist,A_seller_activity,2018-07-01,naive - pit,2012,0.316,-0.172,0.8,0.888,2000,15.9
olist,A_seller_activity,2018-01-01,nocut - pit,1479,13.948,11.992,15.97,1.0,2000,14.6
olist,A_seller_activity,2018-04-01,nocut - pit,1685,12.317,10.591,14.083,1.0,2000,13.8
olist,A_seller_activity,2018-07-01,nocut - pit,2012,16.893,15.092,18.742,1.0,2000,14.6
olist,A_seller_activity,2018-01-01,delta30 - pit,1479,10.738,8.988,12.595,1.0,2000,11.1
olist,A_seller_activity,2018-04-01,delta30 - pit,1685,8.705,7.224,10.298,1.0,2000,11.7
olist,A_seller_activity,2018-07-01,delta30 - pit,2012,11.472,9.979,13.116,1.0,2000,12.5
olist,B_seller_quality,2018-01-01,naive - pit,763,3.089,0.802,5.381,0.9925,2000,8.5
olist,B_seller_quality,2018-04-01,naive - pit,852,5.264,2.538,7.866,1.0,2000,8.9
olist,B_seller_quality,2018-07-01,naive - pit,867,3.777,0.598,6.896,0.991,2000,8.9
olist,B_seller_quality,2018-01-01,nocut - pit,763,16.614,12.727,20.774,1.0,2000,8.4
olist,B_seller_quality,2018-04-01,nocut - pit,852,13.415,9.446,17.346,1.0,2000,8.5
olist,B_seller_quality,2018-07-01,nocut - pit,867,18.026,13.579,22.379,1.0,2000,9.4
olist,B_seller_quality,2018-01-01,delta30 - pit,763,7.663,3.998,11.3,1.0,2000,7.3
olist,B_seller_quality,2018-04-01,delta30 - pit,852,8.672,4.876,12.293,1.0,2000,7.6
olist,B_seller_quality,2018-07-01,delta30 - pit,867,5.826,1.967,9.881,0.9975,2000,8.3
olist,C_product_demand,2018-01-01,naive - pit,4490,0.986,0.314,1.645,0.9985,2000,9.7
olist,C_product_demand,2018-04-01,naive - pit,5478,0.272,-0.175,0.695,0.877,2000,18.0
olist,C_product_demand,2018-07-01,naive - pit,5842,-0.096,-0.518,0.323,0.3295,2000,26.8
olist,C_product_demand,2018-01-01,join_only - pit,4490,5.058,4.024,6.137,1.0,2000,17.2
olist,C_product_demand,2018-04-01,join_only - pit,5478,3.201,2.429,3.98,1.0,2000,22.4
olist,C_product_demand,2018-07-01,join_only - pit,5842,3.035,2.205,3.876,1.0,2000,23.6
olist,C_product_demand,2018-01-01,own_only - pit,4490,22.829,21.273,24.275,1.0,2000,18.8
olist,C_product_demand,2018-04-01,own_only - pit,5478,20.315,19.042,21.642,1.0,2000,19.3
olist,C_product_demand,2018-07-01,own_only - pit,5842,25.831,24.482,27.163,1.0,2000,19.9
olist,C_product_demand,2018-01-01,nocut - pit,4490,26.994,25.453,28.505,1.0,2000,16.3
olist,C_product_demand,2018-04-01,nocut - pit,5478,24.665,23.436,25.951,1.0,2000,17.6
olist,C_product_demand,2018-07-01,nocut - pit,5842,25.831,24.482,27.163,1.0,2000,17.0
olist,C_product_demand,2018-01-01,delta30 - pit,4490,15.333,13.898,16.667,1.0,2000,11.9
olist,C_product_demand,2018-04-01,delta30 - pit,5478,14.298,13.136,15.47,1.0,2000,12.9
olist,C_product_demand,2018-07-01,delta30 - pit,5842,14.761,13.57,16.058,1.0,2000,13.2
