task,seed,mode,what,published,generic,status
A_seller_activity,2018-01-01,pit,AUC,0.838796,0.838796,ok
A_seller_activity,2018-01-01,naive,AUC,0.840411,0.840411,ok
A_seller_activity,2018-01-01,delta30,AUC,0.946177,0.946177,ok
A_seller_activity,2018-01-01,delta60,AUC,0.975765,0.975765,ok
A_seller_activity,2018-01-01,nocut,AUC,0.978273,0.978273,ok
A_seller_activity,2018-04-01,pit,AUC,0.860309,0.860309,ok
A_seller_activity,2018-04-01,naive,AUC,0.862388,0.862388,ok
A_seller_activity,2018-04-01,delta30,AUC,0.947359,0.947359,ok
A_seller_activity,2018-04-01,delta60,AUC,0.979877,0.979877,ok
A_seller_activity,2018-04-01,nocut,AUC,0.983479,0.983479,ok
A_seller_activity,2018-07-01,pit,AUC,0.831072,0.831072,ok
A_seller_activity,2018-07-01,naive,AUC,0.834236,0.834236,ok
A_seller_activity,2018-07-01,delta30,AUC,0.945789,0.945789,ok
A_seller_activity,2018-07-01,delta60,AUC,1.0,1.0,ok
A_seller_activity,2018-07-01,nocut,AUC,1.0,1.0,ok
B_seller_quality,2018-01-01,pit,AUC,0.576182,0.576182,ok
B_seller_quality,2018-01-01,naive,AUC,0.607072,0.607072,ok
B_seller_quality,2018-01-01,delta30,AUC,0.652807,0.652807,ok
B_seller_quality,2018-01-01,delta60,AUC,0.710728,0.710728,ok
B_seller_quality,2018-01-01,nocut,AUC,0.742324,0.742324,ok
B_seller_quality,2018-04-01,pit,AUC,0.592497,0.592497,ok
B_seller_quality,2018-04-01,naive,AUC,0.64514,0.64514,ok
B_seller_quality,2018-04-01,delta30,AUC,0.679221,0.679221,ok
B_seller_quality,2018-04-01,delta60,AUC,0.763394,0.763394,ok
B_seller_quality,2018-04-01,nocut,AUC,0.726642,0.726642,ok
B_seller_quality,2018-07-01,pit,AUC,0.588757,0.588757,ok
B_seller_quality,2018-07-01,naive,AUC,0.626532,0.626532,ok
B_seller_quality,2018-07-01,delta30,AUC,0.647013,0.647013,ok
B_seller_quality,2018-07-01,delta60,AUC,0.758787,0.758787,ok
B_seller_quality,2018-07-01,nocut,AUC,0.769019,0.769019,ok
A_seller_activity,2018-01-01,pit,probe,0.837,0.837024,ok
A_seller_activity,2018-01-01,naive,probe,0.837,0.837024,ok
A_seller_activity,2018-01-01,delta30,probe,0.95,0.950472,ok
A_seller_activity,2018-01-01,delta60,probe,0.983,0.982718,ok
A_seller_activity,2018-01-01,nocut,probe,0.933,0.932756,ok
A_seller_activity,2018-04-01,pit,probe,0.861,0.860689,ok
A_seller_activity,2018-04-01,naive,probe,0.861,0.860689,ok
A_seller_activity,2018-04-01,delta30,probe,0.957,0.956764,ok
A_seller_activity,2018-04-01,delta60,probe,0.985,0.985401,ok
A_seller_activity,2018-04-01,nocut,probe,0.928,0.92822,ok
A_seller_activity,2018-07-01,pit,probe,0.833,0.833137,ok
A_seller_activity,2018-07-01,naive,probe,0.833,0.833137,ok
A_seller_activity,2018-07-01,delta30,probe,0.952,0.951879,ok
A_seller_activity,2018-07-01,delta60,probe,1.0,1.0,ok
A_seller_activity,2018-07-01,nocut,probe,1.0,1.0,ok
B_seller_quality,2018-01-01,pit,probe,0.572,0.571828,ok
B_seller_quality,2018-01-01,naive,probe,0.623,0.622762,ok
B_seller_quality,2018-01-01,delta30,probe,0.673,0.672744,ok
B_seller_quality,2018-01-01,delta60,probe,0.744,0.744434,ok
B_seller_quality,2018-01-01,nocut,probe,0.796,0.795545,ok
B_seller_quality,2018-04-01,pit,probe,0.61,0.609957,ok
B_seller_quality,2018-04-01,naive,probe,0.687,0.686562,ok
B_seller_quality,2018-04-01,delta30,probe,0.723,0.723428,ok
B_seller_quality,2018-04-01,delta60,probe,0.789,0.789156,ok
B_seller_quality,2018-04-01,nocut,probe,0.804,0.803893,ok
B_seller_quality,2018-07-01,pit,probe,0.602,0.602313,ok
B_seller_quality,2018-07-01,naive,probe,0.657,0.657021,ok
B_seller_quality,2018-07-01,delta30,probe,0.709,0.708546,ok
B_seller_quality,2018-07-01,delta60,probe,0.819,0.818772,ok
B_seller_quality,2018-07-01,nocut,probe,0.834,0.833624,ok
C_product_demand,2018-01-01,pit,AUC,0.71378,0.71378,ok
C_product_demand,2018-01-01,pit,probe,0.714,0.714296,ok
C_product_demand,2018-01-01,naive,AUC,0.72364,0.72364,ok
C_product_demand,2018-01-01,naive,probe,0.714,0.714296,ok
C_product_demand,2018-01-01,own_only,AUC,0.942075,0.942075,ok
C_product_demand,2018-01-01,own_only,probe,0.95,0.949719,ok
C_product_demand,2018-01-01,join_only,AUC,0.764356,0.764356,ok
C_product_demand,2018-01-01,join_only,probe,0.714,0.714296,ok
C_product_demand,2018-01-01,naive_nbr,AUC,0.721661,0.721661,ok
C_product_demand,2018-01-01,naive_nbr,probe,0.714,0.714296,ok
C_product_demand,2018-01-01,both60,AUC,0.946207,0.946207,ok
C_product_demand,2018-01-01,both60,probe,0.95,0.949719,ok
C_product_demand,2018-01-01,nocut,AUC,0.98372,0.98372,ok
C_product_demand,2018-01-01,nocut,probe,0.871,0.871106,ok
C_product_demand,2018-04-01,pit,AUC,0.745292,0.745292,ok
C_product_demand,2018-04-01,pit,probe,0.722,0.722114,ok
C_product_demand,2018-04-01,naive,AUC,0.748011,0.748011,ok
C_product_demand,2018-04-01,naive,probe,0.722,0.722114,ok
C_product_demand,2018-04-01,own_only,AUC,0.948438,0.948438,ok
C_product_demand,2018-04-01,own_only,probe,0.952,0.952047,ok
C_product_demand,2018-04-01,join_only,AUC,0.777301,0.777301,ok
C_product_demand,2018-04-01,join_only,probe,0.722,0.722114,ok
C_product_demand,2018-04-01,naive_nbr,AUC,0.745354,0.745354,ok
