file,seed,verdict,strok_za_otsechkoi,itog
amazon_item-churn.sql,2008-01-10 00:00:00,CLEAN,20853942,CLEAN
amazon_item-churn.sql,2012-01-05 00:00:00,CLEAN,19308180,CLEAN
amazon_item-churn.sql,2016-01-01 00:00:00,CLEAN,8217532,CLEAN
amazon_item-ltv.sql,2008-01-10 00:00:00,CLEAN,20853942,CLEAN
amazon_item-ltv.sql,2012-01-05 00:00:00,CLEAN,19308180,CLEAN
amazon_item-ltv.sql,2016-01-01 00:00:00,CLEAN,8217532,CLEAN
amazon_user-churn.sql,2008-01-10 00:00:00,CLEAN,20853942,CLEAN
amazon_user-churn.sql,2012-01-05 00:00:00,CLEAN,19308180,CLEAN
amazon_user-churn.sql,2016-01-01 00:00:00,CLEAN,8217532,CLEAN
amazon_user-ltv.sql,2008-01-10 00:00:00,CLEAN,20853942,CLEAN
amazon_user-ltv.sql,2012-01-05 00:00:00,CLEAN,19308180,CLEAN
amazon_user-ltv.sql,2016-01-01 00:00:00,CLEAN,8217532,CLEAN
event_user-attendance.sql,2012-06-20 00:00:00,LEAK,14132712,LEAK
event_user-attendance.sql,2012-08-01 00:00:00,LEAK,13436209,LEAK
event_user-attendance.sql,2012-09-12 00:00:00,LEAK,12268566,LEAK
event_user-attendance.sql,2012-10-17 00:00:00,LEAK,9861347,LEAK
event_user-attendance.sql,2012-11-29 00:00:00,CLEAN,3429676,CLEAN
event_user-ignore.sql,2012-06-20 00:00:00,LEAK,14132712,LEAK
event_user-ignore.sql,2012-08-01 00:00:00,LEAK,13436209,LEAK
event_user-ignore.sql,2012-09-12 00:00:00,LEAK,12268566,LEAK
event_user-ignore.sql,2012-10-17 00:00:00,LEAK,9861347,LEAK
event_user-ignore.sql,2012-11-29 00:00:00,CLEAN,3429676,CLEAN
event_user-repeat.sql,2012-07-11 00:00:00,LEAK,13991307,LEAK
event_user-repeat.sql,2012-08-15 00:00:00,LEAK,13067643,LEAK
event_user-repeat.sql,2012-09-19 00:00:00,LEAK,12040208,LEAK
event_user-repeat.sql,2012-10-24 00:00:00,LEAK,9258287,LEAK
event_user-repeat.sql,2012-11-29 00:00:00,CLEAN,3429676,CLEAN
f1_driver-dnf.sql,1950-05-20 00:00:00,LEAK,96414,LEAK
f1_driver-dnf.sql,1983-07-26 00:00:00,LEAK,61721,LEAK
f1_driver-dnf.sql,2013-03-16 00:00:00,LEAK,17863,LEAK
f1_driver-position.sql,1950-06-19 00:00:00,LEAK,96080,LEAK
f1_driver-position.sql,1984-08-19 00:00:00,LEAK,60104,LEAK
f1_driver-position.sql,2016-05-29 00:00:00,LEAK,12472,LEAK
f1_driver-top3.sql,1994-02-28 00:00:00,LEAK,46007,LEAK
f1_driver-top3.sql,2004-10-03 00:00:00,LEAK,31397,LEAK
f1_driver-top3.sql,2013-03-16 00:00:00,LEAK,17863,LEAK
hm_item-sales.sql,2019-09-09 00:00:00,CLEAN,15343742,CLEAN
hm_item-sales.sql,2020-03-09 00:00:00,CLEAN,8532198,CLEAN
hm_item-sales.sql,2020-09-14 00:00:00,CLEAN,266364,CLEAN
hm_user-churn.sql,2019-09-09 00:00:00,CLEAN,15343742,CLEAN
hm_user-churn.sql,2020-03-09 00:00:00,CLEAN,8532198,CLEAN
hm_user-churn.sql,2020-09-14 00:00:00,CLEAN,266364,CLEAN
stack_post-votes.sql,2009-04-16 00:00:00,LEAK,5399698,LEAK
stack_post-votes.sql,2015-04-09 00:00:00,LEAK,4198142,LEAK
stack_post-votes.sql,2021-01-01 00:00:00,LEAK,1152554,LEAK
stack_user-badge.sql,2010-10-14 00:00:00,LEAK,5369440,LEAK
stack_user-badge.sql,2015-10-08 00:00:00,LEAK,3973265,LEAK
stack_user-badge.sql,2021-01-01 00:00:00,LEAK,1152554,LEAK
stack_user-engagement.sql,2009-04-16 00:00:00,ERROR,5399698,ERROR
stack_user-engagement.sql,2015-04-09 00:00:00,ERROR,4198142,ERROR
stack_user-engagement.sql,2021-01-01 00:00:00,ERROR,1152554,ERROR
