query,name,seed,phase,verdict,columns,cells,columns_nondet,n_rows,seconds
27b477f84e,user_profile,2021-01-01 00:00:00,determinism,DETERMINISTIC,,0,,88137,0.2
27b477f84e,user_profile,2021-01-01 00:00:00,negative_control,CLEAN,,0,,88137,0.3
27b477f84e,user_profile,2009-04-16 00:00:00,main,LEAK,user_exists;user_age_days,12,,6,0.1
27b477f84e,user_profile,2015-04-09 00:00:00,main,LEAK,user_exists;user_age_days,114,,25233,0.2
27b477f84e,user_profile,2021-01-01 00:00:00,main,CLEAN,,0,,88137,0.3
cb86d816b0,activity_counts,2021-01-01 00:00:00,determinism,DETERMINISTIC,,0,,88137,1.0
cb86d816b0,activity_counts,2021-01-01 00:00:00,negative_control,CLEAN,,0,,88137,0.9
cb86d816b0,activity_counts,2009-04-16 00:00:00,main,CLEAN,,0,,6,0.3
cb86d816b0,activity_counts,2015-04-09 00:00:00,main,CLEAN,,0,,25233,0.6
cb86d816b0,activity_counts,2021-01-01 00:00:00,main,CLEAN,,0,,88137,1.0
0c3b9af68e,recency,2021-01-01 00:00:00,determinism,DETERMINISTIC,,0,,88137,0.4
0c3b9af68e,recency,2021-01-01 00:00:00,negative_control,CLEAN,,0,,88137,0.4
0c3b9af68e,recency,2009-04-16 00:00:00,main,CLEAN,,0,,6,0.1
0c3b9af68e,recency,2015-04-09 00:00:00,main,CLEAN,,0,,25233,0.3
0c3b9af68e,recency,2021-01-01 00:00:00,main,CLEAN,,0,,88137,0.5
de9df15550,user_profile,2021-01-01 00:00:00,determinism,DETERMINISTIC,,0,,88137,0.1
de9df15550,user_profile,2021-01-01 00:00:00,negative_control,CLEAN,,0,,88137,0.2
de9df15550,user_profile,2009-04-16 00:00:00,main,LEAK,user_exists;user_age_days,12,,6,0.1
de9df15550,user_profile,2015-04-09 00:00:00,main,LEAK,user_exists;user_age_days,114,,25233,0.1
de9df15550,user_profile,2021-01-01 00:00:00,main,CLEAN,,0,,88137,0.2
92c11c1768,activity_windows,2021-01-01 00:00:00,determinism,DETERMINISTIC,,0,,88137,0.4
92c11c1768,activity_windows,2021-01-01 00:00:00,negative_control,CLEAN,,0,,88137,0.4
92c11c1768,activity_windows,2009-04-16 00:00:00,main,CLEAN,,0,,6,0.1
92c11c1768,activity_windows,2015-04-09 00:00:00,main,CLEAN,,0,,25233,0.2
92c11c1768,activity_windows,2021-01-01 00:00:00,main,CLEAN,,0,,88137,0.4
131e4e8f0e,comment_vote_windows,2021-01-01 00:00:00,determinism,DETERMINISTIC,,0,,88137,2.5
131e4e8f0e,comment_vote_windows,2021-01-01 00:00:00,negative_control,CLEAN,,0,,88137,2.4
131e4e8f0e,comment_vote_windows,2009-04-16 00:00:00,main,CLEAN,,0,,6,0.1
131e4e8f0e,comment_vote_windows,2015-04-09 00:00:00,main,CLEAN,,0,,25233,0.6
131e4e8f0e,comment_vote_windows,2021-01-01 00:00:00,main,CLEAN,,0,,88137,2.5
a52ebc5e37,recency2,2021-01-01 00:00:00,determinism,DETERMINISTIC,,0,,88137,0.4
a52ebc5e37,recency2,2021-01-01 00:00:00,negative_control,CLEAN,,0,,88137,0.4
a52ebc5e37,recency2,2009-04-16 00:00:00,main,CLEAN,,0,,6,0.1
a52ebc5e37,recency2,2015-04-09 00:00:00,main,CLEAN,,0,,25233,0.2
a52ebc5e37,recency2,2021-01-01 00:00:00,main,CLEAN,,0,,88137,0.3
26823de412,activity_small_windows,2021-01-01 00:00:00,determinism,TIMEOUT,Timeout: не уложился в 300 с,0,,0,301.0
0f28e849e5,ratios,2021-01-01 00:00:00,determinism,TIMEOUT,Timeout: не уложился в 300 с,0,,0,300.8
b61b1ccca4,post_aggregates,2021-01-01 00:00:00,determinism,DETERMINISTIC,,0,,88137,0.6
b61b1ccca4,post_aggregates,2021-01-01 00:00:00,negative_control,CLEAN,,0,,88137,0.6
b61b1ccca4,post_aggregates,2009-04-16 00:00:00,main,CLEAN,,0,,6,0.1
b61b1ccca4,post_aggregates,2015-04-09 00:00:00,main,CLEAN,,0,,25233,0.2
