file,dataset,task,seed,phase,verdict,columns,cells,columns_nondet,cells_nondet,n_rows,seconds
event_user-attendance.sql,event,user-attendance,2012-06-20 00:00:00,determinism,DETERMINISTIC,,0,,0,16,234.6
event_user-attendance.sql,event,user-attendance,2012-08-01 00:00:00,determinism,DETERMINISTIC,,0,,0,351,219.3
event_user-attendance.sql,event,user-attendance,2012-09-12 00:00:00,determinism,DETERMINISTIC,,0,,0,488,155.9
event_user-attendance.sql,event,user-attendance,2012-10-17 00:00:00,determinism,DETERMINISTIC,,0,,0,1167,159.7
event_user-attendance.sql,event,user-attendance,2012-11-29 00:00:00,determinism,DETERMINISTIC,,0,,0,1958,159.1
event_user-attendance.sql,event,user-attendance,2012-11-29 00:00:00,negative_control,CLEAN,,0,,0,1958,157.3
event_user-attendance.sql,event,user-attendance,2012-06-20 00:00:00,main,LEAK,locale;age;gender;days_on_app;location;timezone,77,,0,16,78.0
event_user-attendance.sql,event,user-attendance,2012-08-01 00:00:00,main,LEAK,locale;age;gender;days_on_app;location;timezone,945,,0,351,82.4
event_user-attendance.sql,event,user-attendance,2012-09-12 00:00:00,main,LEAK,locale;age;gender;days_on_app;location;timezone,1520,,0,488,86.3
event_user-attendance.sql,event,user-attendance,2012-10-17 00:00:00,main,LEAK,locale;age;gender;days_on_app;location;timezone,2369,,0,1167,97.9
event_user-attendance.sql,event,user-attendance,2012-11-29 00:00:00,main,CLEAN,,0,,0,1958,135.7
event_user-ignore.sql,event,user-ignore,2012-06-20 00:00:00,determinism,DETERMINISTIC,,0,,0,16,155.1
event_user-ignore.sql,event,user-ignore,2012-08-01 00:00:00,determinism,DETERMINISTIC,,0,,0,351,154.7
event_user-ignore.sql,event,user-ignore,2012-09-12 00:00:00,determinism,DETERMINISTIC,,0,,0,488,155.0
event_user-ignore.sql,event,user-ignore,2012-10-17 00:00:00,determinism,DETERMINISTIC,,0,,0,1167,155.5
event_user-ignore.sql,event,user-ignore,2012-11-29 00:00:00,determinism,DETERMINISTIC,,0,,0,1958,151.1
event_user-ignore.sql,event,user-ignore,2012-11-29 00:00:00,negative_control,CLEAN,,0,,0,1958,365.5
event_user-ignore.sql,event,user-ignore,2012-06-20 00:00:00,main,LEAK,locale;age;gender;days_on_app;location;timezone,77,,0,16,75.6
event_user-ignore.sql,event,user-ignore,2012-08-01 00:00:00,main,LEAK,locale;age;gender;days_on_app;location;timezone,945,,0,351,81.4
event_user-ignore.sql,event,user-ignore,2012-09-12 00:00:00,main,LEAK,locale;age;gender;days_on_app;location;timezone,1520,,0,488,87.2
event_user-ignore.sql,event,user-ignore,2012-10-17 00:00:00,main,LEAK,locale;age;gender;days_on_app;location;timezone,2369,,0,1167,92.3
event_user-ignore.sql,event,user-ignore,2012-11-29 00:00:00,main,CLEAN,,0,,0,1958,136.6
event_user-repeat.sql,event,user-repeat,2012-07-11 00:00:00,determinism,DETERMINISTIC,,0,,0,5,268.4
event_user-repeat.sql,event,user-repeat,2012-08-15 00:00:00,determinism,DETERMINISTIC,,0,,0,103,239.3
event_user-repeat.sql,event,user-repeat,2012-09-19 00:00:00,determinism,DETERMINISTIC,,0,,0,160,150.5
event_user-repeat.sql,event,user-repeat,2012-10-24 00:00:00,determinism,DETERMINISTIC,,0,,0,385,393.7
event_user-repeat.sql,event,user-repeat,2012-11-29 00:00:00,determinism,DETERMINISTIC,,0,,0,246,155.2
event_user-repeat.sql,event,user-repeat,2012-11-29 00:00:00,negative_control,CLEAN,,0,,0,246,159.0
event_user-repeat.sql,event,user-repeat,2012-07-11 00:00:00,main,LEAK,locale;age;gender;days_on_app;location;timezone,26,,0,5,78.8
event_user-repeat.sql,event,user-repeat,2012-08-15 00:00:00,main,LEAK,locale;age;gender;days_on_app;location;timezone,278,,0,103,86.3
event_user-repeat.sql,event,user-repeat,2012-09-19 00:00:00,main,LEAK,locale;age;gender;days_on_app;location;timezone,462,,0,160,83.8
event_user-repeat.sql,event,user-repeat,2012-10-24 00:00:00,main,LEAK,locale;age;gender;days_on_app;location;timezone,424,,0,385,99.2
event_user-repeat.sql,event,user-repeat,2012-11-29 00:00:00,main,CLEAN,,0,,0,246,137.4
