file,dataset,task,seed,phase,verdict,columns,cells,columns_nondet,cells_nondet,n_rows,seconds
f1_driver-dnf.sql,f1,driver-dnf,1950-05-20 00:00:00,determinism,DETERMINISTIC,,0,,0,63,0.6
f1_driver-dnf.sql,f1,driver-dnf,1983-07-26 00:00:00,determinism,DETERMINISTIC,,0,,0,29,0.6
f1_driver-dnf.sql,f1,driver-dnf,2013-03-16 00:00:00,determinism,DETERMINISTIC,,0,,0,22,0.5
f1_driver-dnf.sql,f1,driver-dnf,2013-03-16 00:00:00,negative_control,CLEAN,,0,,0,22,0.5
f1_driver-dnf.sql,f1,driver-dnf,1950-05-20 00:00:00,main,LEAK,upcoming_1_round;upcoming_1_circuit_id;upcoming_2_round;upcoming_2_circuit_id;upcoming_3_round;upcoming_3_circuit_id,378,,0,63,0.4
f1_driver-dnf.sql,f1,driver-dnf,1983-07-26 00:00:00,main,LEAK,upcoming_1_round;upcoming_1_circuit_id;upcoming_2_round;upcoming_2_circuit_id,116,,0,29,0.4
f1_driver-dnf.sql,f1,driver-dnf,2013-03-16 00:00:00,main,LEAK,upcoming_1_round;upcoming_1_circuit_id;upcoming_2_round;upcoming_2_circuit_id;upcoming_3_round;upcoming_3_circuit_id,132,,0,22,0.4
f1_driver-position.sql,f1,driver-position,1950-06-19 00:00:00,determinism,DETERMINISTIC,,0,,0,19,0.4
f1_driver-position.sql,f1,driver-position,1984-08-19 00:00:00,determinism,DETERMINISTIC,,0,,0,30,0.5
f1_driver-position.sql,f1,driver-position,2016-05-29 00:00:00,determinism,DETERMINISTIC,,0,,0,22,0.5
f1_driver-position.sql,f1,driver-position,2016-05-29 00:00:00,negative_control,CLEAN,,0,,0,22,0.5
f1_driver-position.sql,f1,driver-position,1950-06-19 00:00:00,main,LEAK,upcoming_1_round;upcoming_1_circuit_id,38,,0,19,0.6
f1_driver-position.sql,f1,driver-position,1984-08-19 00:00:00,main,LEAK,upcoming_2_round;upcoming_2_circuit_id;upcoming_3_round;upcoming_3_circuit_id,120,,0,30,0.5
f1_driver-position.sql,f1,driver-position,2016-05-29 00:00:00,main,LEAK,upcoming_1_round;upcoming_1_circuit_id;upcoming_2_round;upcoming_2_circuit_id;upcoming_3_round;upcoming_3_circuit_id,132,,0,22,0.4
f1_driver-top3.sql,f1,driver-top3,1994-02-28 00:00:00,determinism,DETERMINISTIC,,0,,0,26,0.3
f1_driver-top3.sql,f1,driver-top3,2004-10-03 00:00:00,determinism,DETERMINISTIC,,0,,0,21,0.4
f1_driver-top3.sql,f1,driver-top3,2013-03-16 00:00:00,determinism,DETERMINISTIC,,0,,0,22,0.4
f1_driver-top3.sql,f1,driver-top3,2013-03-16 00:00:00,negative_control,CLEAN,,0,,0,22,0.4
f1_driver-top3.sql,f1,driver-top3,1994-02-28 00:00:00,main,LEAK,upcoming_1_round;upcoming_1_circuit_id,52,,0,26,0.4
f1_driver-top3.sql,f1,driver-top3,2004-10-03 00:00:00,main,LEAK,upcoming_1_round;upcoming_1_circuit_id;upcoming_2_round;upcoming_2_circuit_id,84,,0,21,0.4
f1_driver-top3.sql,f1,driver-top3,2013-03-16 00:00:00,main,LEAK,upcoming_1_round;upcoming_1_circuit_id;upcoming_2_round;upcoming_2_circuit_id;upcoming_3_round;upcoming_3_circuit_id,132,,0,22,0.4
stack_post-votes.sql,stack,post-votes,2009-04-16 00:00:00,determinism,DETERMINISTIC,,0,,0,1,4.4
stack_post-votes.sql,stack,post-votes,2015-04-09 00:00:00,determinism,NONDETERMINISTIC,post_ordinal,10,,0,45964,50.5
stack_post-votes.sql,stack,post-votes,2021-01-01 00:00:00,determinism,NONDETERMINISTIC,post_ordinal,61,,0,160903,140.0
stack_post-votes.sql,stack,post-votes,2021-01-01 00:00:00,negative_control,CLEAN,,0,post_ordinal,62,160903,125.2
stack_post-votes.sql,stack,post-votes,2009-04-16 00:00:00,main,LEAK,user_age_months,1,,0,1,1.3
stack_post-votes.sql,stack,post-votes,2015-04-09 00:00:00,main,LEAK,user_age_months,41,post_ordinal,4,45964,24.4
stack_post-votes.sql,stack,post-votes,2021-01-01 00:00:00,main,LEAK,user_age_months,18,post_ordinal,72,160903,121.0
stack_user-badge.sql,stack,user-badge,2010-10-14 00:00:00,determinism,DETERMINISTIC,,0,,0,1093,0.6
stack_user-badge.sql,stack,user-badge,2015-10-08 00:00:00,determinism,NONDETERMINISTIC,last_badge_name;last_badge_rarity;avg_days_since_last_post_q;avg_days_since_last_post_a,291,,0,61054,5.0
stack_user-badge.sql,stack,user-badge,2021-01-01 00:00:00,determinism,NONDETERMINISTIC,avg_days_since_last_post_q;avg_days_since_last_post_a,24,,0,255360,6.2
stack_user-badge.sql,stack,user-badge,2021-01-01 00:00:00,negative_control,CLEAN,,0,last_badge_name;last_badge_rarity;avg_days_since_last_post_q;avg_days_since_last_post_a,2023,255360,5.4
stack_user-badge.sql,stack,user-badge,2010-10-14 00:00:00,main,LEAK,badge_score;max_rarity;avg_rarity;rarest_badge_age_weeks;badge_momentum;last_q_avg_commenter_badge_score;avg_commenter_badge_score_q;last_a_avg_commenter_badge_score;avg_commenter_badge_score_a,4070,last_badge_name;last_badge_rarity,869,1093,0.4
stack_user-badge.sql,stack,user-badge,2015-10-08 00:00:00,main,LEAK,badge_score;max_rarity;avg_rarity;rarest_badge_age_weeks;badge_momentum;last_q_avg_commenter_badge_score;avg_commenter_badge_score_q;last_a_avg_commenter_badge_score;avg_commenter_badge_score_a,163872,last_badge_name;last_badge_rarity;avg_days_since_last_post_q;avg_days_since_last_post_a,34325,61054,2.3
stack_user-badge.sql,stack,user-badge,2021-01-01 00:00:00,main,LEAK,badge_score;max_rarity;avg_rarity;rarest_badge_age_weeks;badge_momentum;last_q_avg_commenter_badge_score;avg_commenter_badge_score_q;last_a_avg_commenter_badge_score;avg_commenter_badge_score_a,288217,last_badge_name;last_badge_rarity;avg_days_since_last_post_q;avg_days_since_last_post_a,57755,255360,4.9
stack_user-engagement.sql,stack,user-engagement,2009-04-16 00:00:00,determinism,ERROR,"BinderException: Binder Error: Referenced column ""AcceptedAnswerId"" not found in FROM clause!
Candidate bindings: ""ContentLicense"", ""OwnerUserId"", ""Id"", ""ParentId""

LINE 115:     where AcceptedAnswerId is not null
   ",0,,0,0,0.1
stack_user-engagement.sql,stack,user-engagement,2015-04-09 00:00:00,determinism,ERROR,"BinderException: Binder Error: Referenced column ""AcceptedAnswerId"" not found in FROM clause!
Candidate bindings: ""ContentLicense"", ""OwnerUserId"", ""Id"", ""ParentId""

LINE 115:     where AcceptedAnswerId is not null
   ",0,,0,0,0.1
stack_user-engagement.sql,stack,user-engagement,2021-01-01 00:00:00,determinism,ERROR,"BinderException: Binder Error: Referenced column ""AcceptedAnswerId"" not found in FROM clause!
Candidate bindings: ""ContentLicense"", ""OwnerUserId"", ""Id"", ""ParentId""

LINE 115:     where AcceptedAnswerId is not null
   ",0,,0,0,0.1
stack_user-engagement.sql,stack,user-engagement,2021-01-01 00:00:00,negative_control,ERROR,"BinderException: Binder Error: Referenced column ""AcceptedAnswerId"" not found in FROM clause!
Candidate bindings: ""ContentLicense"", ""OwnerUserId"", ""Id"", ""ParentId""

LINE 115:     where AcceptedAnswerId is not null
   ",0,,0,0,0.0
stack_user-engagement.sql,stack,user-engagement,2009-04-16 00:00:00,main,ERROR,"BinderException: Binder Error: Referenced column ""AcceptedAnswerId"" not found in FROM clause!
Candidate bindings: ""ContentLicense"", ""OwnerUserId"", ""Id"", ""ParentId""

LINE 115:     where AcceptedAnswerId is not null
   ",0,,0,0,0.0
stack_user-engagement.sql,stack,user-engagement,2015-04-09 00:00:00,main,ERROR,"BinderException: Binder Error: Referenced column ""AcceptedAnswerId"" not found in FROM clause!
Candidate bindings: ""ContentLicense"", ""OwnerUserId"", ""Id"", ""ParentId""

LINE 115:     where AcceptedAnswerId is not null
   ",0,,0,0,0.1
stack_user-engagement.sql,stack,user-engagement,2021-01-01 00:00:00,main,ERROR,"BinderException: Binder Error: Referenced column ""AcceptedAnswerId"" not found in FROM clause!
Candidate bindings: ""ContentLicense"", ""OwnerUserId"", ""Id"", ""ParentId""

LINE 115:     where AcceptedAnswerId is not null
   ",0,,0,0,0.0
