file,dataset,task,seed,phase,verdict,columns,cells,columns_nondet,cells_nondet,n_rows,seconds
hm_item-sales.sql,hm,item-sales,2019-09-09 00:00:00,determinism,NONDETERMINISTIC,avg_weeks_since_last_purchase_1_weeks_ago,63,,0,105542,6.0
hm_item-sales.sql,hm,item-sales,2020-03-09 00:00:00,determinism,NONDETERMINISTIC,avg_weeks_since_last_purchase_1_weeks_ago;avg_weeks_since_last_purchase_2_weeks_ago;avg_weeks_since_last_purchase_3_weeks_ago;avg_weeks_since_last_purchase_4_weeks_ago;avg_weeks_since_last_purchase_5_weeks_ago,7503,,0,105542,6.4
hm_item-sales.sql,hm,item-sales,2020-09-14 00:00:00,determinism,NONDETERMINISTIC,avg_weeks_since_last_purchase_1_weeks_ago;avg_weeks_since_last_purchase_2_weeks_ago;avg_weeks_since_last_purchase_3_weeks_ago;avg_weeks_since_last_purchase_4_weeks_ago;avg_weeks_since_last_purchase_5_weeks_ago,7544,,0,105542,6.3
hm_item-sales.sql,hm,item-sales,2020-09-14 00:00:00,negative_control,CLEAN,,0,avg_weeks_since_last_purchase_1_weeks_ago;avg_weeks_since_last_purchase_2_weeks_ago;avg_weeks_since_last_purchase_3_weeks_ago;avg_weeks_since_last_purchase_4_weeks_ago;avg_weeks_since_last_purchase_5_weeks_ago,7143,105542,7.8
hm_item-sales.sql,hm,item-sales,2019-09-09 00:00:00,main,CLEAN,,0,avg_weeks_since_last_purchase_1_weeks_ago,27,105542,3.4
hm_item-sales.sql,hm,item-sales,2020-03-09 00:00:00,main,CLEAN,,0,avg_weeks_since_last_purchase_1_weeks_ago;avg_weeks_since_last_purchase_2_weeks_ago;avg_weeks_since_last_purchase_3_weeks_ago;avg_weeks_since_last_purchase_4_weeks_ago;avg_weeks_since_last_purchase_5_weeks_ago,6243,105542,5.5
hm_item-sales.sql,hm,item-sales,2020-09-14 00:00:00,main,CLEAN,,0,avg_weeks_since_last_purchase_1_weeks_ago;avg_weeks_since_last_purchase_2_weeks_ago;avg_weeks_since_last_purchase_3_weeks_ago;avg_weeks_since_last_purchase_4_weeks_ago;avg_weeks_since_last_purchase_5_weeks_ago,12246,105542,7.7
hm_user-churn.sql,hm,user-churn,2019-09-09 00:00:00,determinism,NONDETERMINISTIC,modal_dept_no;modal_section_no;modal_color_id;avg_days_since_last_sale_1_weeks_ago;modal_dept_no_1_weeks_ago;modal_section_no_1_weeks_ago;modal_color_id_1_weeks_ago,22809,,0,30797,24.4
hm_user-churn.sql,hm,user-churn,2020-03-09 00:00:00,determinism,NONDETERMINISTIC,modal_dept_no;modal_section_no;modal_color_id;avg_days_since_last_sale_1_weeks_ago;modal_dept_no_1_weeks_ago;modal_section_no_1_weeks_ago;modal_color_id_1_weeks_ago;avg_days_since_last_sale_2_weeks_ago;modal_dept_no_2_weeks_ago;modal_section_no_2_weeks_ago;modal_color_id_2_weeks_ago;avg_days_since_last_sale_3_weeks_ago;modal_dept_no_3_weeks_ago;modal_section_no_3_weeks_ago;modal_color_id_3_weeks_ago;avg_days_since_last_sale_4_weeks_ago;modal_dept_no_4_weeks_ago;modal_section_no_4_weeks_ago;modal_color_id_4_weeks_ago;avg_days_since_last_sale_5_weeks_ago;modal_dept_no_5_weeks_ago;modal_section_no_5_weeks_ago;modal_color_id_5_weeks_ago,141147,,0,77068,25.7
hm_user-churn.sql,hm,user-churn,2020-09-14 00:00:00,determinism,NONDETERMINISTIC,modal_dept_no;modal_section_no;modal_color_id;avg_days_since_last_sale_1_weeks_ago;modal_dept_no_1_weeks_ago;modal_section_no_1_weeks_ago;modal_color_id_1_weeks_ago;avg_days_since_last_sale_2_weeks_ago;modal_dept_no_2_weeks_ago;modal_section_no_2_weeks_ago;modal_color_id_2_weeks_ago;avg_days_since_last_sale_3_weeks_ago;modal_dept_no_3_weeks_ago;modal_section_no_3_weeks_ago;modal_color_id_3_weeks_ago;avg_days_since_last_sale_4_weeks_ago;modal_dept_no_4_weeks_ago;modal_section_no_4_weeks_ago;modal_color_id_4_weeks_ago;avg_days_since_last_sale_5_weeks_ago;modal_dept_no_5_weeks_ago;modal_section_no_5_weeks_ago;modal_color_id_5_weeks_ago,142935,,0,74575,26.2
hm_user-churn.sql,hm,user-churn,2020-09-14 00:00:00,negative_control,CLEAN,,0,modal_dept_no;modal_section_no;modal_color_id;avg_days_since_last_sale_1_weeks_ago;modal_dept_no_1_weeks_ago;modal_section_no_1_weeks_ago;modal_color_id_1_weeks_ago;avg_days_since_last_sale_2_weeks_ago;modal_dept_no_2_weeks_ago;modal_section_no_2_weeks_ago;modal_color_id_2_weeks_ago;avg_days_since_last_sale_3_weeks_ago;modal_dept_no_3_weeks_ago;modal_section_no_3_weeks_ago;modal_color_id_3_weeks_ago;avg_days_since_last_sale_4_weeks_ago;modal_dept_no_4_weeks_ago;modal_section_no_4_weeks_ago;modal_color_id_4_weeks_ago;avg_days_since_last_sale_5_weeks_ago;modal_dept_no_5_weeks_ago;modal_section_no_5_weeks_ago;modal_color_id_5_weeks_ago,144420,74575,25.7
hm_user-churn.sql,hm,user-churn,2019-09-09 00:00:00,main,CLEAN,,0,modal_dept_no;modal_section_no;modal_color_id;avg_days_since_last_sale_1_weeks_ago;modal_dept_no_1_weeks_ago;modal_section_no_1_weeks_ago;modal_color_id_1_weeks_ago,19693,30797,11.3
